time/total_timesteps,time/time_elapsed,rew_vec_envs,time/iterations,time/fps,train/clip_range,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/clip_fraction
1769472,3466,-551.5345363616943,108,510,0.2,713.226102924347,215.99020385742188,-5.389683273434639,0.012928607,0.001,0.5663158595561981,-0.006524943781914772,0.9421268701553345,1070,0.165545654296875
1785856,3500,-688.1743392944336,109,510,0.2,781.6759728908539,327.3681945800781,-5.387361812591553,0.01330854,0.001,0.6089999377727509,-0.009110273934493308,0.9447273015975952,1080,0.15408935546875
1802240,3535,-647.8272399902344,110,509,0.2,739.2902254581452,290.3541564941406,-5.3771100148558615,0.015379727,0.001,0.5926826596260071,-0.005790267974953167,0.9399012923240662,1090,0.16890869140625
1818624,3571,-611.0383796691895,111,509,0.2,690.3909832477569,178.3920135498047,-5.370999264717102,0.01639035,0.001,0.5194167494773865,-0.008084313829021994,0.9405021667480469,1100,0.21890869140625
1835008,3608,-542.3144340515137,112,508,0.2,671.5667232036591,153.52491760253906,-5.3741220697760586,0.016323462,0.001,0.5838682949542999,-0.009352717306319392,0.939514696598053,1110,0.1930419921875
1851392,3648,-720.2678489685059,113,507,0.2,668.2297951698304,194.76394653320312,-5.352387854456902,0.017307352,0.001,0.5170946717262268,-0.008730777220625896,0.9322453737258911,1120,0.20322265625
1867776,3688,-572.8301391601562,114,506,0.2,875.8168999195099,283.2323913574219,-5.345811526477337,0.013131604,0.001,0.4496130347251892,-0.01014725496461324,0.9330294728279114,1130,0.172509765625
1884160,3725,-638.2448310852051,115,505,0.2,769.9316911220551,402.53924560546875,-5.338228325545788,0.015757844,0.001,0.5531536042690277,-0.008227648204047,0.9307399988174438,1140,0.157666015625
1900544,3762,-659.6580963134766,116,505,0.2,636.4834784984589,527.1187744140625,-5.318557807803154,0.016359044,0.001,0.5729314088821411,-0.0058205138440825975,0.9242159724235535,1150,0.18531494140625
1916928,3799,-560.512996673584,117,504,0.2,756.96973695755,424.78704833984375,-5.303653573989868,0.013653167,0.001,0.5299691259860992,-0.008161788069992326,0.924316942691803,1160,0.16533203125
1933312,3836,-583.5160827636719,118,503,0.2,716.7546230792999,313.4067687988281,-5.291438281536102,0.01612628,0.001,0.5443055927753448,-0.008638841685751686,0.922838568687439,1170,0.1896728515625
1949696,3874,-594.9367446899414,119,503,0.2,606.8995329856873,308.43255615234375,-5.301620241999626,0.016017169,0.001,0.49905091524124146,-0.0075444330148457086,0.9243259429931641,1180,0.189447021484375
1966080,3912,-664.9099311828613,120,502,0.2,738.6073209285736,470.2372741699219,-5.3125111877918245,0.014508606,0.001,0.49188119173049927,-0.008995554273133166,0.9269771575927734,1190,0.15560302734375
1982464,3948,-588.3250617980957,121,502,0.2,597.5465152740478,196.5697784423828,-5.318365398049354,0.019312128,0.001,0.4604608416557312,-0.006749083470640471,0.928622841835022,1200,0.197900390625
1998848,3984,-624.2751502990723,122,501,0.2,711.79125623703,445.9337463378906,-5.3022685393691065,0.012171238,0.001,0.5021916627883911,-0.008088785318250302,0.9220380783081055,1210,0.156524658203125
2015232,4019,-708.747615814209,123,501,0.2,716.5670720100403,259.24298095703125,-5.300736072659492,0.016012643,0.001,0.5195557177066803,-0.007426180646871216,0.9219101667404175,1220,0.162451171875
