time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,time/fps,train/clip_range,train/clip_fraction,train/value_loss,train/loss,train/entropy_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/std
933888,1295.4126586914062,1077,38,866,0.2,0.09921061197916667,552.9504516601562,276.3353271484375,-4.678566467761994,0.5549368262290955,0.009770918,0.001,-0.009561190717310335,370,0.7795351147651672
958464,1273.0069325764973,1109,39,863,0.2,0.10342203776041667,523.242897160848,119.20110321044922,-4.657467271884283,0.5113634467124939,0.009702182,0.001,-0.009432378837179083,380,0.7762539982795715
983040,1306.6737060546875,1142,40,860,0.2,0.10308837890625,618.6793217341105,230.83782958984375,-4.637744784355164,0.5340805649757385,0.01077291,0.001,-0.008693512676594158,390,0.7713925242424011
1007616,1071.0872650146484,1174,41,857,0.2,0.10068359375,546.1732280095418,188.85903930664062,-4.622118238608042,0.5410625040531158,0.008983533,0.001,-0.008655020583925458,400,0.76961350440979
1032192,1215.1978149414062,1207,42,855,0.2,0.10686848958333334,543.4024195988973,245.39341735839844,-4.622244195143382,0.514233410358429,0.010313288,0.001,-0.00826137128266661,410,0.7716106176376343
1056768,1438.910415649414,1240,43,851,0.2,0.11654866536458333,511.49059836069745,195.20285034179688,-4.6064582089583075,0.5125592052936554,0.011791657,0.001,-0.00915716250698703,420,0.7664921283721924
1081344,1243.875020345052,1273,44,849,0.2,0.11218668619791666,533.0532821655273,201.5680694580078,-4.589428979158401,0.47944164276123047,0.011704323,0.001,-0.009717065742976653,430,0.7626291513442993
1105920,1219.9512634277344,1306,45,846,0.2,0.11947835286458333,534.9840428034464,285.84814453125,-4.566119484106699,0.5139833092689514,0.009809745,0.001,-0.009919266574434005,440,0.7586901187896729
1130496,1352.6799062093098,1339,46,844,0.2,0.11378173828125,564.9435406366985,192.12860107421875,-4.543526721000672,0.581754207611084,0.010808583,0.001,-0.009987457247916609,450,0.7523696422576904
1155072,1452.5269470214844,1372,47,841,0.2,0.12352294921875,573.2902571996053,121.47953033447266,-4.523632774750392,0.46186137199401855,0.0113488315,0.001,-0.01028980211315987,460,0.7502888441085815
1179648,1277.998987833659,1406,48,838,0.2,0.12146809895833334,674.9866493860881,149.00730895996094,-4.493765461444855,0.45329147577285767,0.011779019,0.001,-0.008869325096990602,470,0.7432885766029358
1204224,1395.3178304036458,1440,49,836,0.2,0.13050537109375,577.8853111902873,146.9687957763672,-4.469810911019644,0.5794362723827362,0.011410971,0.001,-0.009528183107613586,480,0.7412323951721191
1228800,1461.607645670573,1475,50,832,0.2,0.11995035807291667,627.2308409372965,237.4187774658203,-4.454452470938365,0.49536585807800293,0.011313751,0.001,-0.008828068239381537,490,0.7369942665100098
1253376,1654.7179870605469,1509,51,830,0.2,0.117236328125,620.6928909301757,146.57778930664062,-4.444329043229421,0.47163498401641846,0.010323986,0.001,-0.009229243328445592,500,0.7340492010116577
1277952,1408.1681416829426,1543,52,827,0.2,0.12357177734375,686.4711013793946,202.11488342285156,-4.4261139810085295,0.43184274435043335,0.010369628,0.001,-0.008833896546275356,510,0.7320810556411743
1302528,1507.0486755371094,1579,53,824,0.2,0.12620442708333332,552.7004990895589,178.87294006347656,-4.420887436469396,0.48159945011138916,0.011097242,0.001,-0.010158035292988643,520,0.7314138412475586
1327104,1502.9952494303386,1614,54,821,0.2,0.12121988932291666,563.0764974594116,249.9072723388672,-4.408834218978882,0.42856818437576294,0.0115103,0.001,-0.009962129946992112,530,0.7280157804489136
1351680,1516.7097727457683,1650,55,818,0.2,0.13505859375,657.9399826685587,154.4793701171875,-4.383648496866226,0.36920756101608276,0.012654114,0.001,-0.009103531883253406,540,0.7243223786354065
1376256,1341.5676930745442,1686,56,816,0.2,0.13844807942708334,589.5583925882976,153.8680877685547,-4.362217150131861,0.40469497442245483,0.013331677,0.001,-0.010298148367049483,550,0.7189046740531921
1400832,1451.7672678629558,1721,57,813,0.2,0.13204752604166667,542.3094296773274,124.7665786743164,-4.338105807701747,0.40190428495407104,0.012664014,0.001,-0.009235856176140563,560,0.7163050770759583
1425408,1464.5493621826172,1757,58,811,0.2,0.12196858723958333,609.5416238149007,158.65826416015625,-4.323776354392369,0.3400523066520691,0.011058827,0.001,-0.009771091105843272,570,0.712139368057251
1449984,1418.195297241211,1791,59,809,0.2,0.124853515625,639.0054925282797,233.48007202148438,-4.292769835392634,0.3390353322029114,0.011127043,0.001,-0.009782753852778114,580,0.70737224817276
1474560,1643.1784057617188,1826,60,807,0.2,0.14242757161458333,549.4630791346232,193.95361328125,-4.268133767445883,0.37966567277908325,0.012709454,0.001,-0.010860528263341015,590,0.7030518054962158
1499136,1539.8361104329426,1862,61,804,0.2,0.13831380208333333,592.3288999557495,174.7442169189453,-4.229502213001251,0.38874226808547974,0.0144738555,0.001,-0.011246214863300944,600,0.6952936053276062
1523712,1531.0940907796223,1897,62,803,0.2,0.13402506510416667,705.2080400466918,345.6265869140625,-4.19234319726626,0.28843027353286743,0.013091055,0.001,-0.011045981464364255,610,0.6896008849143982
1548288,1494.454121907552,1934,63,800,0.2,0.14021402994791668,518.1324174245199,146.9036407470703,-4.160192888975144,0.4116746783256531,0.011907578,0.001,-0.010658828676484215,620,0.685491144657135
1572864,1558.7016703287761,1971,64,797,0.2,0.13037923177083333,655.1637716929118,177.44497680664062,-4.116034370660782,0.2419256567955017,0.011750978,0.001,-0.010868670341248313,630,0.6761073470115662
1597440,1766.5611419677734,2007,65,795,0.2,0.129638671875,564.776051012675,246.55670166015625,-4.088803772131602,0.3955153226852417,0.0116334185,0.001,-0.011485008720774204,640,0.6719361543655396
1622016,1481.4469502766926,2042,66,794,0.2,0.13213297526041667,566.8658237457275,230.79652404785156,-4.051772777239481,0.381011426448822,0.013061645,0.001,-0.009952026354343009,650,0.6664353013038635
1646592,1560.3169555664062,2079,67,791,0.2,0.14544270833333334,626.8632340113322,251.88027954101562,-4.009658065438271,0.3341178894042969,0.012611291,0.001,-0.010813935961535511,660,0.657967209815979
1671168,1705.8255716959636,2116,68,789,0.2,0.13263753255208333,636.076541074117,232.43968200683594,-3.9924526840448378,0.3009517192840576,0.011782206,0.001,-0.010832520486049664,670,0.6569637656211853
1695744,1866.9420166015625,2154,69,786,0.2,0.1288818359375,575.0664605458577,194.7589569091797,-3.9827556371688844,0.3640914559364319,0.01212008,0.001,-0.01025976182136219,680,0.6548313498497009
1720320,1652.6341654459636,2192,70,784,0.2,0.1271484375,582.60300655365,181.9637451171875,-3.958949086070061,0.40115439891815186,0.010933784,0.001,-0.01043046112851395,690,0.6502368450164795
1744896,1588.6632181803386,2229,71,782,0.2,0.13803304036458333,580.836968421936,154.72418212890625,-3.918231475353241,0.39871150255203247,0.012004326,0.001,-0.011693017033394426,700,0.6444687247276306
1769472,1724.4194030761719,2267,72,780,0.2,0.1109375,528.9484899520874,118.5592269897461,-3.896418766180674,0.38709133863449097,0.009735434,0.001,-0.00866644838048766,710,0.6415500044822693
1794048,1705.6347147623699,2305,73,778,0.2,0.1196533203125,502.8651318232218,227.25148010253906,-3.8884659707546234,0.45058584213256836,0.01200667,0.001,-0.010869532281746312,720,0.6403488516807556
1818624,1648.0611673990886,2343,74,776,0.2,0.11155192057291667,584.2894259770711,186.26287841796875,-3.855727488795916,0.34122711420059204,0.008995689,0.001,-0.009400848693136747,730,0.6331313848495483
1843200,1644.9051005045574,2381,75,774,0.2,0.11779378255208334,547.2454126358032,127.03689575195312,-3.832439437508583,0.4178832769393921,0.0099766115,0.001,-0.009308333205990494,740,0.631157636642456
1867776,1619.8385823567708,2419,76,771,0.2,0.11951904296875,606.8033154169718,150.80458068847656,-3.811051760117213,0.2964209318161011,0.010669897,0.001,-0.01071126386426234,750,0.6275784969329834
1892352,1535.7010599772136,2457,77,770,0.2,0.12497151692708333,507.9004810969035,163.8238525390625,-3.79197560052077,0.37510257959365845,0.010533127,0.001,-0.010099212672018135,760,0.6255996227264404
1916928,1660.2915140787761,2495,78,768,0.2,0.12004801432291666,551.2452895482381,135.0553436279297,-3.775568973024686,0.33875805139541626,0.011296819,0.001,-0.010206681949784979,770,0.6215945482254028
1941504,1861.8410034179688,2535,79,765,0.2,0.11803385416666666,548.8061884562175,236.28175354003906,-3.7410294860601425,0.39922940731048584,0.011011709,0.001,-0.009213119883982775,780,0.6168119311332703
1966080,1493.8613179524739,2574,80,763,0.2,0.11140950520833333,527.9415828704834,105.7081527709961,-3.709514284133911,0.4401674270629883,0.009481867,0.001,-0.00964120421752644,790,0.6117343902587891
1990656,1690.2957967122395,2614,81,761,0.2,0.12094319661458333,479.38992862701417,138.57814025878906,-3.6856259057919183,0.3733867406845093,0.010241627,0.001,-0.00918284770353542,800,0.6085907816886902
2015232,1730.5248413085938,2654,82,759,0.2,0.13363037109375,531.6350580851237,221.00881958007812,-3.6630433837572736,0.40430498123168945,0.011408334,0.001,-0.007910907048305186,810,0.6047970652580261
