agent_id,elapsed_time,rew_closing_distance,rew_engaging_enemy,rew_speed_magnitude,rew_near_engagement,acc_rewards,vel_angles,approaching,chasing,in_range,current_term,info[downed],info[exploded_target],info[exploded_ally],info[crashes],info[ally_collision],info[mission_complete],info[out_of_bounds],info[timeover]
1,3.175,0.0,0.0,6.472360729066672,0.0,5066.6268471561025,1.570830653929636,1,0,0,0,0,0,0,0,0,0,0,0
2,3.175,0.01103622021797368,1.9105009164022342,1.4153299993261879,0.0,1651.1723525517828,1.570268809736799,1,1,0,0,0,0,0,0,0,0,0,0
3,3.175,0.019590306585574258,1.90986148872244,6.408757096778057,0.0,4156.155707138248,1.5707945407113184,1,1,0,0,0,0,0,0,0,0,0,0
4,3.175,0.0049979109520863485,1.9103323821830145,1.3683383881367677,0.0,1765.507626568055,1.570407342711627,1,1,0,0,0,0,0,0,0,0,0,0
5,3.175,0.0,0.0,11.441269694320447,0.0,3050.3217950950393,1.572213036649639,1,0,0,0,0,0,0,0,0,0,0,0
6,3.175,0.003269140696776862,1.9103927693417022,1.6225952916999737,0.0,1986.457652311267,1.5703577024287854,1,1,0,0,0,0,0,0,0,0,0,0
7,3.175,0.0,0.0,0.0,0.0,1969.8189265505116,1.5706093509682633,0,1,0,0,0,0,0,0,0,0,0,0
9,3.175,0.0203906445293649,1.9101338100984973,5.371658675091674,0.0,3329.333794486751,1.5705705977977025,1,1,0,0,0,0,0,0,0,0,0,0
10,3.175,0.0,0.0,5.593679993657104,0.0,3630.684252484176,1.5716533555026255,1,0,0,0,0,0,0,0,0,0,0,0
11,3.175,0.029787391839058763,1.9137482175521499,7.823197694265416,0.0,4796.594243217056,1.5676043339897976,1,1,0,0,0,0,0,0,0,0,0,0
12,3.175,0.033317987005188066,1.9131610337837426,6.215486603416,0.0,4589.397982286139,1.5680854601490437,1,1,0,0,0,0,0,0,0,0,0,0
14,3.175,0.016811201761305572,1.9114708004647438,1.0892532166826303,0.0,3001.872529655382,1.5694720522388297,1,1,0,0,0,0,0,0,0,0,0,0
15,3.175,0.0,0.0,0.0,0.0,1374.7278153980833,1.570538344210953,0,1,0,0,0,0,0,0,0,0,0,0
16,3.175,0.0369342243443711,1.913063420018738,10.433679450102247,0.0,3969.1396201640814,1.5681654714670232,1,1,0,0,0,0,0,0,0,0,0,0
17,3.175,0.0,0.0,17.77323862322323,0.0,4742.65509602762,1.5747392412632877,1,0,0,0,0,0,0,0,0,0,0,0
18,3.175,0.02210196870899317,1.9098869273205727,7.437031123184455,0.0,4263.865437643349,1.5707736186292314,1,1,0,0,0,0,0,0,0,0,0,0
0,3.183333333333333,0.008498244728702531,1.910431412215313,2.252166970958507,0.0,3450.5675288414577,1.5703259383288912,1,1,1,0,0,0,0,0,0,0,0,0
1,3.183333333333333,0.0,0.0,6.472360729066672,0.0,5073.09920788517,1.5708225187659823,1,0,0,0,0,0,0,0,0,0,0,0
2,3.183333333333333,0.010883629723603905,1.9105294669978543,1.4153299993261879,0.0,1654.5090956478305,1.5702453439329074,1,1,0,0,0,0,0,0,0,0,0,0
3,3.183333333333333,0.0,0.0,6.408757096778057,0.0,4162.564464235025,1.5708313089334807,1,0,0,0,0,0,0,0,0,0,0,0
4,3.183333333333333,0.00508935648414699,1.9103214284574366,1.3683383881367677,0.0,1768.7913757411334,1.5704163473800672,1,1,0,0,0,0,0,0,0,0,0,0
5,3.183333333333333,0.0,0.0,11.441269694320447,0.0,3061.7630647893598,1.5721935884108655,1,0,0,0,0,0,0,0,0,0,0,0
6,3.183333333333333,0.003279416039037475,1.9104081747932578,1.6225952916999737,0.0,1989.9939351937994,1.5703450391300051,1,1,0,0,0,0,0,0,0,0,0,0
7,3.183333333333333,0.0,0.0,0.0,0.0,1969.8189265505116,1.5706188909739502,0,1,0,0,0,0,0,0,0,0,0,0
9,3.183333333333333,0.020278185510202995,1.9101429096244458,5.371658675091674,0.0,3336.635874256977,1.5705631159240496,1,1,0,0,0,0,0,0,0,0,0,0
10,3.183333333333333,0.0,0.0,5.593679993657104,0.0,3636.277932477833,1.5716422345640861,1,0,0,0,0,0,0,0,0,0,0,0
11,3.183333333333333,0.029643159398865748,1.9137006737188114,7.823197694265416,0.0,4806.360784744439,1.5676432794321122,1,1,0,0,0,0,0,0,0,0,0,0
12,3.183333333333333,0.03326626519067055,1.913145325580335,6.215486603416,0.0,4597.559880480327,1.5680983351800406,1,1,0,0,0,0,0,0,0,0,0,0
14,3.183333333333333,0.01664215311152084,1.9114123796370517,1.0892532166826303,0.0,3004.889837404813,1.5695200219272696,1,1,0,0,0,0,0,0,0,0,0,0
15,3.183333333333333,0.0,0.0,0.0,0.0,1374.7278153980833,1.5705479792915849,0,1,0,0,0,0,0,0,0,0,0,0
16,3.183333333333333,0.037009550389253576,1.913053377456897,10.433679450102247,0.0,3981.5233625420296,1.5681737035419405,1,1,0,0,0,0,0,0,0,0,0,0
17,3.183333333333333,0.0,0.0,17.77323862322323,0.0,4760.428334650843,1.574710056259361,1,0,0,0,0,0,0,0,0,0,0,0
18,3.183333333333333,0.022028049255115256,1.9098869362072626,7.437031123184455,0.0,4273.234383751996,1.5707736113204334,1,1,0,0,0,0,0,0,0,0,0,0
0,3.191666666666667,0.008054205205040188,1.910433438547039,2.252166970958507,0.0,3454.7381834561684,1.570324272737615,1,1,1,0,0,0,0,0,0,0,0,0
1,3.191666666666667,0.0,0.0,6.472360729066672,0.0,5079.571568614237,1.570803367976266,1,0,0,0,0,0,0,0,0,0,0,0
2,3.191666666666667,0.010595763985635998,1.9105493090826324,1.4153299993261879,0.0,1657.845570720225,1.5702290360883056,1,1,0,0,0,0,0,0,0,0,0,0
3,3.191666666666667,0.0,0.0,6.408757096778057,0.0,4168.973221331803,1.570861048608112,1,0,0,0,0,0,0,0,0,0,0,0
4,3.191666666666667,0.0045510667974999475,1.9103072676431463,1.3683383881367677,0.0,1772.0745724637109,1.5704279886351837,1,1,0,0,0,0,0,0,0,0,0,0
5,3.191666666666667,0.0,0.0,11.441269694320447,0.0,3073.20433448368,1.5721971973243738,1,0,0,0,0,0,0,0,0,0,0,0
6,3.191666666666667,0.00303681378019216,1.9104176686422585,1.6225952916999737,0.0,1993.5299849679218,1.5703372352769915,1,1,0,0,0,0,0,0,0,0,0,0
7,3.191666666666667,0.0,0.0,0.0,0.0,1969.8189265505116,1.5706322747294423,0,1,0,0,0,0,0,0,0,0,0,0
