time/total_timesteps,time/fps,rew_vec_envs,time/iterations,time/time_elapsed,train/clip_range,train/explained_variance,train/std,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/loss
2883584,658,-5041.087249755859,88,4378,0.2,0.9593908786773682,0.5130618214607239,-2.789721053466201,0.012664718,-0.007153884728541016,0.1222503662109375,1429.3869202136993,0.001,870,441.8963623046875
2916352,653,-4995.620758056641,89,4464,0.2,0.9702575113624334,0.5074077248573303,-2.746062736213207,0.01235836,-0.007514434621771216,0.1282470703125,1324.3152240276336,0.001,880,300.5085144042969
2949120,647,-5222.075164794922,90,4557,0.2,0.9701199773699045,0.5036876797676086,-2.7088890545070172,0.010941627,-0.0066910028115671595,0.1192413330078125,1173.919488811493,0.001,890,316.29205322265625
2981888,642,-5073.500778198242,91,4644,0.2,0.9592729099094868,0.49938350915908813,-2.673697958886623,0.011030713,-0.006386901303994818,0.1202972412109375,1470.983564376831,0.001,900,418.9249267578125
3014656,637,-5141.463714599609,92,4729,0.2,0.9550742320716381,0.4964543581008911,-2.6345359068363905,0.013209573,-0.007264803523139562,0.12908935546875,1713.2470856189727,0.001,910,353.98895263671875
3047424,632,-5003.77815246582,93,4816,0.2,0.9497696496546268,0.4925302267074585,-2.6085310336202383,0.012384964,-0.00629163069788774,0.1358123779296875,1331.2663803577423,0.001,920,258.2765808105469
3080192,628,-5091.191680908203,94,4900,0.2,0.9493108727037907,0.48968783020973206,-2.5802020128816365,0.010829164,-0.006941044165432686,0.1192474365234375,1691.6200541019439,0.001,930,816.5827026367188
3112960,623,-4969.991668701172,95,4991,0.2,0.9604182131588459,0.48511484265327454,-2.5460083059966565,0.013418714,-0.008095278229666292,0.1369171142578125,1884.8694449901582,0.001,940,850.1389770507812
3145728,619,-4941.202117919922,96,5081,0.2,0.9603160806000233,0.48157405853271484,-2.511969196796417,0.011477928,-0.007051711468375288,0.1356201171875,1355.4185799598695,0.001,950,307.9820251464844
3178496,614,-5011.710845947266,97,5174,0.2,0.9729389771819115,0.47913500666618347,-2.480579997226596,0.012335827,-0.006846847418273683,0.1287689208984375,1280.8125030994415,0.001,960,234.08926391601562
3211264,609,-5223.418273925781,98,5267,0.2,0.9662834405899048,0.47651880979537964,-2.4635420229285954,0.011098035,-0.006296975493751233,0.1397857666015625,1183.209194135666,0.001,970,317.27191162109375
3244032,605,-5160.018402099609,99,5361,0.2,0.9625897519290447,0.47156667709350586,-2.4182730980217455,0.011896091,-0.007808906963327899,0.1423431396484375,1326.703419303894,0.001,980,333.1812438964844
3276800,600,-5134.5799560546875,100,5456,0.2,0.9690776690840721,0.46715977787971497,-2.377998386323452,0.011686168,-0.0069360565714305265,0.13778076171875,1213.1599874973297,0.001,990,367.0809326171875
3309568,596,-4885.771575927734,101,5550,0.2,0.950076274573803,0.46260780096054077,-2.3293906409293412,0.016947016,-0.005981638701996417,0.1373260498046875,1500.7074417591095,0.001,1000,312.4616394042969
3342336,592,-4798.546417236328,102,5642,0.2,0.9704082384705544,0.45938512682914734,-2.297225618734956,0.0127155855,-0.006138479238506989,0.153094482421875,1191.0001166343689,0.001,1010,293.63232421875
3375104,588,-4969.098052978516,103,5734,0.2,0.9454886317253113,0.45667025446891785,-2.268304993957281,0.012127576,-0.005877530949146603,0.14766845703125,1770.8498717308044,0.001,1020,301.74322509765625
3407872,584,-5038.593322753906,104,5827,0.2,0.957046777009964,0.4514535367488861,-2.230216746032238,0.0149377305,-0.006959645287861349,0.1452667236328125,1297.7748604297637,0.001,1030,237.238525390625
3440640,581,-5022.5799560546875,105,5921,0.2,0.9670185595750809,0.4497637450695038,-2.200992663577199,0.021765519,-0.0065378014242014615,0.160614013671875,1209.3092210292816,0.001,1040,272.3734436035156
3473408,577,-5145.60986328125,106,6014,0.2,0.9720298983156681,0.4483098089694977,-2.186754983663559,0.013308194,-0.007028101972173318,0.16212158203125,1073.6517137527467,0.001,1050,198.66326904296875
3506176,573,-5147.69091796875,107,6111,0.2,0.9480426870286465,0.44588741660118103,-2.1654557920992374,0.013948775,-0.004122557891241741,0.169696044921875,1391.8574156284333,0.001,1060,341.7144470214844
3538944,570,-5009.594390869141,108,6206,0.2,0.9580134637653828,0.44426384568214417,-2.1513497713953256,0.0143294595,-0.006980986638518516,0.1513916015625,1316.6058827400207,0.001,1070,290.679931640625
3571712,566,-5145.466613769531,109,6302,0.2,0.9599907882511616,0.443139910697937,-2.135662996396422,0.011820395,-0.006969560933794128,0.159381103515625,1364.1522503852843,0.001,1080,317.4189147949219
3604480,563,-5033.054229736328,110,6400,0.2,0.9582276381552219,0.43967145681381226,-2.1073594857007265,0.013296855,-0.006424716769470251,0.159173583984375,1367.1813142299652,0.001,1090,315.1554260253906
3637248,559,-4916.2314453125,111,6501,0.2,0.9602688848972321,0.4386516511440277,-2.0862476617097854,0.015929325,-0.007248597853686078,0.16300048828125,1398.1173520565033,0.001,1100,343.23236083984375
3670016,556,-5013.629852294922,112,6600,0.2,0.961000133305788,0.4378276467323303,-2.0754554856568577,0.016612839,-0.0056285385566297915,0.158831787109375,1427.1560282707214,0.001,1110,250.0140838623047
3702784,552,-5043.413360595703,113,6700,0.2,0.9463374689221382,0.4342957139015198,-2.0466956034302712,0.018168982,-0.004812755821512837,0.1694732666015625,2374.1572867393493,0.001,1120,484.75555419921875
3735552,548,-4839.790557861328,114,6805,0.2,0.9332147687673569,0.4321592450141907,-2.0229331254959106,0.012151748,-0.004775888226868119,0.15262451171875,1698.2160906791687,0.001,1130,344.0713195800781
3768320,545,-5157.0093994140625,115,6908,0.2,0.964391428977251,0.42790108919143677,-1.9853745272383094,0.017412355,-0.006115196504106279,0.18253173828125,1376.4080424785614,0.001,1140,296.9051513671875
3801088,541,-5036.194641113281,116,7014,0.2,0.9717857725918293,0.4252656102180481,-1.955156570672989,0.015099067,-0.006296111388655845,0.16739501953125,1297.0651131629943,0.001,1150,323.4110107421875
3833856,538,-4818.146774291992,117,7118,0.2,0.9616059251129627,0.42194512486457825,-1.926621776074171,0.015049517,-0.006317427243266139,0.1627960205078125,1424.934714603424,0.001,1160,290.435791015625
3866624,535,-5175.346405029297,118,7224,0.2,0.9624685533344746,0.42089658975601196,-1.9076757730916143,0.016590072,-0.0061902040011773355,0.1756195068359375,1327.2123387813567,0.001,1170,346.7156982421875
