time/fps,rew_vec_envs,time/iterations,time/time_elapsed,time/total_timesteps,train/explained_variance,train/approx_kl,train/std,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction
716,479.4621615409851,44,2011,2490368,0.7636244148015976,0.04554898,0.544201135635376,112.68466186523438,-0.017669957148245884,750,0.001,0.2,-3.2468515798449515,636.7652317047119,0.3191802978515625
714,502.96116876602173,45,2063,2523136,0.7798802107572556,0.052913927,0.5420428514480591,67.76451873779297,-0.017236374225103646,760,0.001,0.2,-3.219055999442935,550.715871322155,0.3252838134765625
713,477.3968963623047,46,2111,2555904,0.7543953508138657,0.044387996,0.5387887358665466,77.04377746582031,-0.01799128248167108,770,0.001,0.2,-3.201969689875841,616.6291782021523,0.31251220703125
710,500.4608657360077,47,2168,2588672,0.7201065719127655,0.041807815,0.5374965667724609,90.02861022949219,-0.016919558366498676,780,0.001,0.2,-3.1861536107957362,636.1343744397163,0.3106903076171875
706,568.9393100738525,48,2227,2621440,0.6857311725616455,0.048841126,0.5317604541778564,75.93749237060547,-0.016451607522321866,790,0.001,0.2,-3.1559020075947046,711.5006860375404,0.314971923828125
702,717.1264365911484,49,2286,2654208,0.6999816298484802,0.050008394,0.5295165777206421,114.01634216308594,-0.016730172931420383,800,0.001,0.2,-3.1313448920845985,656.7707058548928,0.33494873046875
700,648.4455919265747,50,2339,2686976,0.6832879483699799,0.04582929,0.5240929126739502,95.19477844238281,-0.01742315265946672,810,0.001,0.2,-3.08773042447865,680.1620686769486,0.3279052734375
698,544.6630869358778,51,2391,2719744,0.7444188296794891,0.050773524,0.5197418928146362,73.88461303710938,-0.017268031882849755,820,0.001,0.2,-3.0566140223294496,676.902253973484,0.3306121826171875
697,537.7321882247925,52,2441,2752512,0.7068776190280914,0.04690508,0.5157771110534668,70.26868438720703,-0.016825371333106888,830,0.001,0.2,-3.03124569170177,694.1857058525086,0.324493408203125
696,659.697340965271,53,2492,2785280,0.7339315712451935,0.042573385,0.5105303525924683,69.73320770263672,-0.018459098425228148,840,0.001,0.2,-2.9886740066111086,751.2264707565307,0.3135711669921875
695,581.4181909561157,54,2542,2818048,0.731327086687088,0.049200512,0.5069295763969421,71.6512222290039,-0.016402315547384205,850,0.001,0.2,-2.9632422368973494,708.4249823212624,0.3322479248046875
694,591.6121215820312,55,2593,2850816,0.7021884620189667,0.0503868,0.502873957157135,71.55227661132812,-0.015960690543579403,860,0.001,0.2,-2.9196000073105095,687.2788016915322,0.3299041748046875
693,631.0443348884583,56,2647,2883584,0.7334620356559753,0.056646243,0.49908247590065,90.12584686279297,-0.016685413580853493,870,0.001,0.2,-2.8904773119837044,724.9862926959992,0.3332061767578125
692,428.3708953857422,57,2696,2916352,0.7360579073429108,0.051443033,0.49298447370529175,89.24336242675781,-0.015475928473824752,880,0.001,0.2,-2.8498245153576134,679.8138810873031,0.34183349609375
690,701.0550107955933,58,2752,2949120,0.700526773929596,0.052989814,0.49043795466423035,75.34461212158203,-0.016732852556742728,890,0.001,0.2,-2.824197192117572,716.7671264410019,0.349053955078125
688,448.2741587162018,59,2808,2981888,0.7623137980699539,0.062069338,0.486558735370636,72.36402893066406,-0.01589332003786694,900,0.001,0.2,-2.793435079231858,654.3067049026489,0.351605224609375
686,678.9028635025024,60,2864,3014656,0.7107409238815308,0.04729697,0.4852195084095001,78.93415832519531,-0.018334131826122757,910,0.001,0.2,-2.773364467918873,726.8412519454956,0.3282318115234375
684,675.1763391494751,61,2921,3047424,0.7192857563495636,0.055799287,0.4830150902271271,74.40802764892578,-0.01640415158290125,920,0.001,0.2,-2.750279575586319,639.2842604160309,0.3680450439453125
682,564.0038623809814,62,2976,3080192,0.7545059770345688,0.056868695,0.4806694984436035,72.04764556884766,-0.016788579722560825,930,0.001,0.2,-2.738378956541419,598.7734852790833,0.369427490234375
680,573.8332042694092,63,3033,3112960,0.7145160436630249,0.053049956,0.47577840089797974,113.2098617553711,-0.01720561247857404,940,0.001,0.2,-2.7082795061171057,772.3942119479179,0.3455474853515625
678,542.461236000061,64,3089,3145728,0.7072819769382477,0.049274966,0.47410348057746887,164.6710662841797,-0.01894990416622022,950,0.001,0.2,-2.6871898368000986,808.8089082479477,0.342999267578125
677,695.9350581169128,65,3145,3178496,0.7189289331436157,0.05360216,0.4715949594974518,89.33423614501953,-0.018879993358859794,960,0.001,0.2,-2.672394208982587,631.0274370193481,0.367352294921875
675,619.7707672119141,66,3203,3211264,0.7275800406932831,0.05479145,0.46760672330856323,82.76258850097656,-0.016824792002444154,970,0.001,0.2,-2.635867146030068,690.4413112878799,0.35814208984375
672,769.8961057662964,67,3265,3244032,0.7009014785289764,0.050039254,0.4634161591529846,100.16471862792969,-0.019066173174360303,980,0.001,0.2,-2.601231648400426,732.4192135334015,0.348291015625
670,587.8723659515381,68,3323,3276800,0.7375629246234894,0.055795666,0.45929354429244995,97.26424407958984,-0.016444806826621063,990,0.001,0.2,-2.560726719349623,679.4123776197433,0.3590240478515625
668,656.4774899482727,69,3381,3309568,0.7405861020088196,0.06307219,0.45578840374946594,97.14523315429688,-0.017813093986842433,1000,0.001,0.2,-2.5334582891315223,704.6812520980835,0.3612274169921875
666,478.6207687854767,70,3440,3342336,0.7069492042064667,0.053316053,0.4533320367336273,99.2159423828125,-0.0161391062218172,1010,0.001,0.2,-2.5103878054767845,761.160827946663,0.3528167724609375
664,465.34311723709106,71,3501,3375104,0.7080067098140717,0.06325017,0.45125776529312134,96.04048156738281,-0.016052767139626667,1020,0.001,0.2,-2.4906946297734978,714.4608079671859,0.3793853759765625
662,511.3817265033722,72,3561,3407872,0.7436852753162384,0.06030865,0.44967347383499146,91.31412506103516,-0.015859137644656584,1030,0.001,0.2,-2.4722346536815167,742.8237692356109,0.362957763671875
660,466.68833923339844,73,3623,3440640,0.7341756522655487,0.05845755,0.44938772916793823,75.67144012451172,-0.015806604302633788,1040,0.001,0.2,-2.4725288081914187,766.8976194620133,0.3620635986328125
658,393.56717920303345,74,3682,3473408,0.7037563621997833,0.059850525,0.4480585753917694,72.84884643554688,-0.016528196822764584,1050,0.001,0.2,-2.458191856741905,746.134132218361,0.36104736328125
656,674.7984416484833,75,3742,3506176,0.7080045938491821,0.06744869,0.44450533390045166,99.92906188964844,-0.015437002505132113,1060,0.001,0.2,-2.4314046215265988,704.6306483983993,0.3926239013671875
655,634.6246929168701,76,3801,3538944,0.7445040047168732,0.07158816,0.4422999620437622,76.25313568115234,-0.01654403784923488,1070,0.001,0.2,-2.411993835121393,686.9185500860215,0.383038330078125
653,616.9651517868042,77,3863,3571712,0.7210335731506348,0.054172713,0.4433302879333496,69.28244018554688,-0.016414711068136967,1080,0.001,0.2,-2.407530124112964,756.4022487163544,0.3667724609375
651,671.6437139511108,78,3926,3604480,0.7181675136089325,0.060031682,0.4416932761669159,124.32490539550781,-0.016821063701354434,1090,0.001,0.2,-2.401319805532694,780.8206399440766,0.3648101806640625
648,625.040036201477,79,3990,3637248,0.6852484941482544,0.062748134,0.4392433166503906,134.8926239013672,-0.01797864728796412,1100,0.001,0.2,-2.382582725584507,811.8118037462234,0.3714447021484375
646,533.2293238639832,80,4054,3670016,0.7178371846675873,0.066609055,0.4384617209434509,103.87959289550781,-0.01616203958801634,1110,0.001,0.2,-2.3714013293385507,793.7121099472046,0.3880706787109375
644,712.274543762207,81,4120,3702784,0.7241663336753845,0.061263505,0.4339597523212433,93.00736236572266,-0.01758516983645677,1120,0.001,0.2,-2.3406313564628363,761.1980339765548,0.3756317138671875
641,603.0040216445923,82,4185,3735552,0.7149639427661896,0.060600143,0.43044352531433105,114.58136749267578,-0.017520531601257973,1130,0.001,0.2,-2.3021351687610148,828.6134497404098,0.3670440673828125
640,760.9286594390869,83,4248,3768320,0.7125652134418488,0.06881279,0.4282110929489136,146.79122924804688,-0.015526598567885231,1140,0.001,0.2,-2.2753324139863254,744.6639181017875,0.409442138671875
638,603.6076250076294,84,4314,3801088,0.7267575860023499,0.070697665,0.426418662071228,72.43041229248047,-0.015606180467875675,1150,0.001,0.2,-2.266146906465292,701.0315595507622,0.394549560546875
635,632.5264596939087,85,4380,3833856,0.6993718147277832,0.064484045,0.4245910048484802,84.5962905883789,-0.01754473966502701,1160,0.001,0.2,-2.246547957137227,786.6968084812164,0.3804229736328125
633,633.2506680488586,86,4446,3866624,0.6687712371349335,0.0694594,0.42155447602272034,82.14846801757812,-0.01612352088923217,1170,0.001,0.2,-2.2156504426151513,812.8344923257828,0.389495849609375
631,576.6477012634277,87,4513,3899392,0.7111624777317047,0.062281013,0.42030906677246094,93.5016860961914,-0.016818784075439908,1180,0.001,0.2,-2.1983952686190604,787.8955821752548,0.385076904296875
629,706.8312034606934,88,4580,3932160,0.7098143696784973,0.07327436,0.4185677170753479,97.5108413696289,-0.016058413693099283,1190,0.001,0.2,-2.187280973792076,764.2299711465836,0.3983245849609375
627,763.2149300575256,89,4646,3964928,0.7316718995571136,0.06694457,0.41686469316482544,89.77268981933594,-0.01703404008585494,1200,0.001,0.2,-2.1726562414318322,823.7288006782532,0.3872344970703125
625,582.6580934524536,90,4714,3997696,0.7190201580524445,0.05499186,0.4160187244415283,120.283935546875,-0.018363604448677507,1210,0.001,0.2,-2.1653510496020316,903.9506536483765,0.370623779296875
623,622.2583011984825,91,4783,4030464,0.7139670848846436,0.07131827,0.41368913650512695,107.9766845703125,-0.01803615950993844,1220,0.001,0.2,-2.147075891122222,754.675445318222,0.4050384521484375
621,545.0564744472504,92,4852,4063232,0.7099482715129852,0.07319047,0.4121347665786743,92.66785430908203,-0.01769577947925427,1230,0.001,0.2,-2.120179269835353,796.741639304161,0.4008514404296875
