time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/std
658,1359872,-22.097546339035034,2064,83,0.00017735723,820,-5.680433014035225,61.360813254117964,6.515692234039307,0.4970009922981262,0.2,1e-05,0.0,-0.0005222577179665677,1.001220941543579
658,1376256,-35.172328636050224,2090,84,0.00011748087,830,-5.680471006035805,163.16227174997329,90.97969055175781,0.3619866371154785,0.2,1e-05,0.0,-0.00021936122866463847,1.0011292695999146
658,1392640,-21.018701016902924,2114,85,0.00026117114,840,-5.680256846547127,199.9798476934433,182.29539489746094,0.35984790325164795,0.2,1e-05,0.0,-0.0006206230485986452,1.0011539459228516
658,1409024,-22.808663427829742,2138,86,0.00051531906,850,-5.680002152919769,143.89173803329467,71.17786407470703,0.38226258754730225,0.2,1e-05,1.220703125e-05,-0.0009577645010722336,1.0009620189666748
658,1425408,-33.46417148411274,2165,87,0.0002127751,860,-5.67951585650444,169.6234099626541,71.91561889648438,0.3704250454902649,0.2,1e-05,0.0,-0.00040045881978585386,1.0009498596191406
657,1441792,-14.32219684123993,2193,88,0.00076760596,870,-5.6794847548007965,192.81363676786424,80.61613464355469,0.3418249487876892,0.2,1e-05,1.220703125e-05,-0.0007787372924212832,1.0009238719940186
657,1458176,-17.467976808547974,2218,89,0.0027566785,880,-5.67920129597187,8.679858449101449,3.8798370361328125,0.869250014424324,0.2,1e-05,0.002337646484375,-0.0016756413104303646,1.00076162815094
657,1474560,9.237325251102448,2244,90,0.0003410976,890,-5.678808349370956,89.85919367074966,30.569766998291016,0.4653019905090332,0.2,1e-05,0.0,-0.0006223555239557755,1.000846266746521
656,1490944,-17.476353108882904,2270,91,0.0001165469,900,-5.679305279254914,97.68316122293473,53.315006256103516,0.3985706567764282,0.2,1e-05,0.0,-0.0005426242190878838,1.0009551048278809
655,1507328,-21.933984696865082,2298,92,0.0028745555,910,-5.679419761896133,28.16017245054245,16.21685218811035,0.7120842039585114,0.2,1e-05,0.007098388671875,-0.0024299563445310925,1.0008167028427124
655,1523712,-30.94736909866333,2324,93,0.00061833515,920,-5.678817063570023,59.458403933048245,44.23396301269531,0.515809953212738,0.2,1e-05,1.8310546875e-05,-0.0006868906137242447,1.000766634941101
654,1540096,-19.35908641666174,2352,94,0.0003616306,930,-5.6789178311824795,31.699685162305833,5.791080951690674,0.6006156802177429,0.2,1e-05,0.0,-0.00047190203331410886,1.0008574724197388
653,1556480,-2.7073469758033752,2380,95,0.0004589814,940,-5.679216647148133,99.05436657369137,115.04733276367188,0.4144865870475769,0.2,1e-05,6.103515625e-06,-0.000654242658856674,1.0008964538574219
653,1572864,26.600750513374805,2407,96,0.00017143125,950,-5.679423317313194,174.92977995872496,61.16193389892578,0.3403838276863098,0.2,1e-05,0.0,-0.00047844871587585656,1.0010088682174683
652,1589248,-26.806631594896317,2434,97,0.0009519464,960,-5.679933649301529,125.18798328638077,28.430158615112305,0.43968307971954346,0.2,1e-05,8.544921875e-05,-0.0008802738084341399,1.001116394996643
652,1605632,16.976069390773773,2462,98,0.001667533,970,-5.680140006542206,61.17968309819698,68.2704086303711,0.5428898334503174,0.2,1e-05,0.000439453125,-0.0013011336610361467,1.0011091232299805
651,1622016,-11.534439325332642,2489,99,0.00032125242,980,-5.680278939008713,106.87044756412506,101.41548919677734,0.42777401208877563,0.2,1e-05,0.0,-0.0006138303855550475,1.0012025833129883
651,1638400,94.49014067649841,2516,100,0.00073128985,990,-5.680018097162247,36.57117995023727,8.905131340026855,0.6672201156616211,0.2,1e-05,1.220703125e-05,-0.0008915674035961274,1.000916838645935
650,1654784,1.0679264664649963,2545,101,7.341806e-05,1000,-5.679379647970199,355.86120293140414,311.6206359863281,0.27678370475769043,0.2,1e-05,0.0,-0.0003185887100698892,1.000951886177063
