time/time_elapsed,rew_vec_envs,time/total_timesteps,time/fps,time/iterations,train/clip_range,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,train/std,train/explained_variance,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate
2265,57.7606406211853,1163264,513,71,0.2,0.4402962625026703,-5.072974891215563,700,0.12877197265625,0.8676166534423828,0.8232811540365219,0.012267517,2.495348481298424,-0.0017667415073447045,0.0001
2301,58.57107448577881,1179648,512,72,0.2,0.310159295797348,-5.080967880412937,710,0.124365234375,0.8698735237121582,0.856055349111557,0.010793146,2.1776979344896974,-0.0010476214201844414,0.0001
2335,57.3976993560791,1196032,512,73,0.2,0.5602712035179138,-5.092141387611628,720,0.09810791015625,0.8733483552932739,0.8444493114948273,0.009366214,4.187361810123548,-0.0006735139182637795,0.0001
2369,50.13470220565796,1212416,511,74,0.2,0.6020948886871338,-5.097053676843643,730,0.12176513671875,0.872216522693634,0.8676188141107559,0.010852681,2.3651072955457493,-0.00020107784785068362,0.0001
2404,52.895262718200684,1228800,510,75,0.2,0.3237030804157257,-5.094062142074108,740,0.135540771484375,0.8716779351234436,0.8803806826472282,0.012388308,1.9778139140224085,-0.002296417001889495,0.0001
2441,54.43643283843994,1245184,510,76,0.2,0.45697909593582153,-5.072455108910799,750,0.120367431640625,0.8644530177116394,0.7935221940279007,0.012106358,3.8695555108366535,-0.001097391077200882,0.0001
2477,67.5528473854065,1261568,509,77,0.2,0.309332013130188,-5.0525715421885256,760,0.125390625,0.8630573153495789,0.8961259350180626,0.011328219,1.8501292682252823,-0.002002879767997001,0.0001
2513,10.682742357254028,1277952,508,78,0.2,0.29260945320129395,-5.05202425532043,770,0.12181396484375,0.8636254072189331,0.8987516313791275,0.011395322,2.0052886774763463,-0.0018913151248852954,0.0001
2551,57.36910152435303,1294336,507,79,0.2,74.88720703125,-5.050758681446314,780,0.1047119140625,0.862350344657898,0.5890160202980042,0.010365815,32.484492792794484,-0.0027699325522917207,0.0001
2590,67.17968606948853,1310720,505,80,0.2,0.798311710357666,-5.028707730025053,790,0.13790283203125,0.8564887046813965,0.8668726682662964,0.011173319,2.514285285002552,-0.0008790921280706244,0.0001
2627,50.939414739608765,1327104,505,81,0.2,0.3818504512310028,-5.022338819503784,800,0.128155517578125,0.8570442795753479,0.8844570890069008,0.011454511,2.0840094233863056,-0.0016718660304832155,0.0001
2664,63.8273549079895,1343488,504,82,0.2,0.4480462074279785,-5.023914244398474,810,0.131805419921875,0.8566561937332153,0.8896911516785622,0.011005098,1.6230929431738332,-0.0009208255367411766,0.0001
2699,66.9031572341919,1359872,503,83,0.2,0.3000067174434662,-5.01620947830379,820,0.1291015625,0.8538262248039246,0.8818244636058807,0.010487573,1.753523070202209,-0.0008412592823333398,0.0001
2735,63.8033561706543,1376256,503,84,0.2,0.2805403172969818,-5.0054003719240425,830,0.116015625,0.8519010543823242,0.8965835422277451,0.010803355,1.8527767109218984,-0.0022182385277119466,0.0001
2773,64.76727676391602,1392640,502,85,0.2,0.8931127786636353,-4.9875806123018265,840,0.12996826171875,0.8464820384979248,0.8581817895174026,0.012458606,1.9454881756566464,-0.002382548396963102,0.0001
2811,51.2304425239563,1409024,501,86,0.2,0.2533490061759949,-4.9699469219893215,850,0.11571044921875,0.8434049487113953,0.8887312337756157,0.010364136,1.886388359963894,-0.0013002415726077743,0.0001
2845,54.11628437042236,1425408,500,87,0.2,0.48766425251960754,-4.960781671106815,860,0.132476806640625,0.843997597694397,0.8416929244995117,0.011168293,1.7455881271744147,-0.0016954823271589704,0.0001
2878,59.0634503364563,1441792,500,88,0.2,0.6437610983848572,-4.955332672223449,870,0.090814208984375,0.8402180075645447,0.5138045251369476,0.01078235,35.95639235330746,-0.0012268161465726734,0.0001
2915,57.098050355911255,1458176,500,89,0.2,0.8016242384910583,-4.940174048766494,880,0.101409912109375,0.8365741968154907,0.7538836598396301,0.010876149,11.995910127693787,-0.002523731357541692,0.0001
2948,64.047776222229,1474560,500,90,0.2,0.5043283104896545,-4.9158596500754355,890,0.134918212890625,0.8312778472900391,0.6865211129188538,0.011936799,20.915825765766204,-0.0012228810522174171,0.0001
2986,65.31170892715454,1490944,499,91,0.2,0.3494792878627777,-4.894491564854979,900,0.149273681640625,0.8288495540618896,0.8981921076774597,0.012440504,2.056025426159613,-0.0010700162827561143,0.0001
3022,57.056621074676514,1507328,498,92,0.2,0.3985083997249603,-4.894637251645326,910,0.137939453125,0.829957127571106,0.9194585680961609,0.012323859,1.8743522171396763,-0.002417630761192413,0.0001
3058,51.15065622329712,1523712,498,93,0.2,0.1399802565574646,-4.883756314963103,920,0.136639404296875,0.8249828219413757,0.8984550461173058,0.012361168,1.5198253016220407,-0.001679548274114495,0.0001
3091,54.40652656555176,1540096,498,94,0.2,0.18247488141059875,-4.8686484847217795,930,0.132763671875,0.8235315084457397,0.9143012762069702,0.012055201,1.1559952695970424,-0.0020887908600343507,0.0001
3129,63.83752775192261,1556480,497,95,0.2,0.5432628393173218,-4.859272854030133,940,0.134710693359375,0.8205472826957703,0.9134605601429939,0.012133658,1.09885277292924,-0.003294233664564672,0.0001
3166,62.5085563659668,1572864,496,96,0.2,0.24865876138210297,-4.843409163504839,950,0.115191650390625,0.8167015910148621,0.7252397537231445,0.011837395,8.926589200727175,-0.003210962144112273,0.0001
3200,54.33328461647034,1589248,496,97,0.2,0.3857324421405792,-4.833084395900369,960,0.10687255859375,0.8169997334480286,0.8875832855701447,0.010366026,1.9195845669135452,-0.0031727280917039024,0.0001
3236,56.46687030792236,1605632,496,98,0.2,0.30812400579452515,-4.829058931395411,970,0.09942626953125,0.8147239089012146,0.903822086751461,0.009518215,2.000083437561989,-0.0019930473254134995,0.0001
3272,61.061129570007324,1622016,495,99,0.2,0.6034600138664246,-4.808896221593022,980,0.11475830078125,0.8085808753967285,0.915091373026371,0.011488109,2.252316441992298,-0.0022012877793713415,0.0001
3307,62.39898371696472,1638400,495,100,0.2,0.16912299394607544,-4.7880336254835125,990,0.138238525390625,0.8059815168380737,0.930813804268837,0.011756266,1.27230736752972,-0.0022056956329834067,0.0001
3342,78.03260850906372,1654784,495,101,0.2,0.23825162649154663,-4.777169858291745,1000,0.127679443359375,0.8041398525238037,0.9075545072555542,0.012750067,1.7180756306275726,-0.0026722734008217232,0.0001
3380,87.83344984054565,1671168,494,102,0.2,0.27959275245666504,-4.756837187707424,1010,0.10865478515625,0.7980706095695496,0.9116145968437195,0.01123269,2.5832174654351547,-0.0022106135975263896,0.0001
3418,59.173301696777344,1687552,493,103,0.2,18.9899959564209,-4.738588289916516,1020,0.129437255859375,0.7965965270996094,0.6998632848262787,0.010197181,15.093840843602084,-0.0013120221570716239,0.0001
