time/time_elapsed,time/total_timesteps,rew_vec_envs,time/fps,time/iterations,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/std,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,train/n_updates
6155,2457600,-167.1945763155818,399,75,0.49883317947387695,878.9827146530151,0.0074183634,0.001,0.7232019901275635,0.05556640625,-0.008419942868204088,-4.356090202927589,0.2,249.8748779296875,740
6204,2490368,-85.97063055634499,401,76,0.4980112910270691,883.5259658813477,0.0075486684,0.001,0.71745765209198,0.06475830078125,-0.008042083674808964,-4.3199505597352985,0.2,268.6836853027344,750
6257,2523136,-134.73356280848384,403,77,0.5394513607025146,624.5498884201049,0.007923296,0.001,0.7118062973022461,0.06478271484375,-0.008776171623321716,-4.287421748042107,0.2,216.16494750976562,760
6307,2555904,-99.94451823830605,405,78,0.4759768843650818,802.4666635513306,0.00680229,0.001,0.7069764137268066,0.0557342529296875,-0.008218205255980137,-4.256460878252983,0.2,255.5984344482422,770
6358,2588672,-190.67366340011358,407,79,0.5392431020736694,638.9290601730347,0.0072443895,0.001,0.7047708630561829,0.06575927734375,-0.009155254015058744,-4.234609070420265,0.2,281.2961730957031,780
6411,2621440,-185.32024705410004,408,80,0.5582832992076874,694.8372581481933,0.009483742,0.001,0.7028640508651733,0.0687957763671875,-0.008854958131269085,-4.220461836457252,0.2,263.74395751953125,790
6460,2654208,-85.58266551420093,410,81,0.5465087890625,803.9937992095947,0.007891956,0.001,0.6991761922836304,0.06075439453125,-0.008085496796411462,-4.203270429372788,0.2,385.25677490234375,800
6509,2686976,-147.2728163599968,412,82,0.6031641662120819,601.3633245468139,0.008106418,0.001,0.7002716064453125,0.0695831298828125,-0.009084984319633805,-4.197159004211426,0.2,251.94842529296875,810
6560,2719744,-113.39485222101212,414,83,0.5821355283260345,701.2441974639893,0.009397458,0.001,0.6975094079971313,0.0780609130859375,-0.009123848470335361,-4.186624452471733,0.2,307.98834228515625,820
6611,2752512,-71.63422402739525,416,84,0.6062513291835785,662.0806739807128,0.008341389,0.001,0.6919245719909668,0.07471923828125,-0.009526087483391166,-4.1594374001026155,0.2,240.1968231201172,830
6659,2785280,-154.82086014188826,418,85,0.610506683588028,626.3381977081299,0.008841664,0.001,0.6888002157211304,0.07977294921875,-0.008190817211288958,-4.136335405707359,0.2,260.0621643066406,840
6708,2818048,-87.68495988845825,420,86,0.5842204988002777,483.9006368637085,0.0096345395,0.001,0.688999354839325,0.0774383544921875,-0.009555427558370865,-4.130540436506271,0.2,137.96475219726562,850
6762,2850816,-66.02884416282177,421,87,0.635736495256424,489.27859725952146,0.010375844,0.001,0.6834985613822937,0.0891021728515625,-0.008646716531075072,-4.107583662867546,0.2,175.7083282470703,860
6813,2883584,-64.22999262809753,423,88,0.5438026487827301,666.5132284164429,0.0085018,0.001,0.6798770427703857,0.0726776123046875,-0.008848985587246717,-4.083342626690865,0.2,175.27694702148438,870
6865,2916352,-118.84026846289635,424,89,0.5766380727291107,535.7563991546631,0.009666491,0.001,0.6748670935630798,0.0824951171875,-0.008808853925438597,-4.056107148528099,0.2,207.67562866210938,880
6915,2949120,-178.08226376771927,426,90,0.5663268566131592,552.1418601989747,0.009682987,0.001,0.674730658531189,0.07874755859375,-0.008956088543345685,-4.044681134819984,0.2,217.64207458496094,890
6964,2981888,-65.89433348923922,428,91,0.5642143487930298,483.95714683532714,0.0089406725,0.001,0.6710031628608704,0.093487548828125,-0.00895348307240056,-4.03454282283783,0.2,146.23731994628906,900
7015,3014656,-52.08975852653384,429,92,0.5657798945903778,414.44559688568114,0.009613639,0.001,0.6685229539871216,0.090362548828125,-0.008771355741191655,-4.015263542532921,0.2,164.96519470214844,910
