time/total_timesteps,time/fps,time/time_elapsed,rew_vec_envs,time/iterations,train/explained_variance,train/std,train/clip_range,train/loss,train/approx_kl,train/n_updates,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
1671168,597,2797,372.7196617126465,102,0.6530701518058777,0.8526489734649658,0.2,969.9696655273438,0.004225187,1010,-5.03306617885828,2001.0122625350953,0.0001,0.033349609375,-0.002641880714872968
1687552,596,2827,357.53643226623535,103,0.724104255437851,0.8500900864601135,0.2,701.6979370117188,0.0043212003,1020,-5.026319834589958,1808.820171546936,0.0001,0.017779541015625,-0.0019724888232303785
1703936,596,2856,327.02397775650024,104,0.6728537082672119,0.8503731489181519,0.2,1160.6033935546875,0.0048053907,1030,-5.0198682874441145,2229.6896484375,0.0001,0.03167724609375,-0.0019932997831347164
1720320,596,2885,406.49238777160645,105,0.7007054388523102,0.8497813940048218,0.2,501.4898376464844,0.004445143,1040,-5.02034588009119,1393.6157227516173,0.0001,0.02987060546875,-0.002204197647915862
1736704,595,2914,313.1716413497925,106,0.7404657900333405,0.8468401432037354,0.2,347.6793518066406,0.0049892496,1050,-5.011206124722958,1033.2421562194825,0.0001,0.0445068359375,-0.002691674433663138
1753088,595,2943,490.23212242126465,107,0.7506678700447083,0.8462204933166504,0.2,400.3913879394531,0.004528095,1060,-5.003152397274971,906.1366974830628,0.0001,0.041326904296875,-0.002461029497499112
1769472,595,2973,392.5497827529907,108,0.6798425316810608,0.8450535535812378,0.2,653.1954956054688,0.0051240297,1070,-4.998485167324543,2003.5290964126586,0.0001,0.032305908203125,-0.0022860572691570267
1785856,594,3003,257.21606826782227,109,0.6028730273246765,0.843083381652832,0.2,982.2848510742188,0.005190283,1080,-4.990987958014012,2525.36676902771,0.0001,0.0302001953125,-0.002267096456125728
1802240,594,3032,516.2295799255371,110,0.6815334856510162,0.8413857221603394,0.2,814.7483520507812,0.004705577,1090,-4.982230401039123,1671.7850219726563,0.0001,0.049163818359375,-0.003312953358545201
1818624,593,3061,503.0123748779297,111,0.7409088015556335,0.839584231376648,0.2,429.0300598144531,0.006130536,1100,-4.974070988595486,1010.6551776885987,0.0001,0.049017333984375,-0.003431366641598288
1835008,593,3091,266.0498733520508,112,0.6991859376430511,0.8389357924461365,0.2,813.713134765625,0.0042967545,1110,-4.968012151122093,1476.6800960540772,0.0001,0.0278564453125,-0.0017857175473181997
1851392,593,3121,255.95525550842285,113,0.6471284627914429,0.8376568555831909,0.2,753.6538696289062,0.004766595,1120,-4.963204172253609,2110.8288312911986,0.0001,0.02999267578125,-0.0022056982037611307
1867776,592,3150,323.8520288467407,114,0.6102256178855896,0.8374712467193604,0.2,1110.5101318359375,0.003957801,1130,-4.959201525151729,2491.4572999954225,0.0001,0.02017822265625,-0.001698717200633837
1884160,592,3180,410.2597951889038,115,0.6997916102409363,0.8366440534591675,0.2,470.086669921875,0.004584954,1140,-4.95645923614502,1753.3106958389283,0.0001,0.0354736328125,-0.002334300481925311
1900544,591,3210,519.3399715423584,116,0.6346820592880249,0.8345631957054138,0.2,850.4179077148438,0.004473701,1150,-4.950178237259388,1785.4875656127929,0.0001,0.02738037109375,-0.002153508869560028
1916928,591,3240,320.6787109375,117,0.8068507313728333,0.8331848978996277,0.2,356.1236572265625,0.004869616,1160,-4.940716080367565,761.6877653121949,0.0001,0.040594482421875,-0.002194934873114107
1933312,591,3270,647.9816303253174,118,0.6483187675476074,0.8322955369949341,0.2,686.3805541992188,0.006123489,1170,-4.9354087427258495,2057.150674247742,0.0001,0.042193603515625,-0.0025880522618535904
1949696,590,3300,408.36186599731445,119,0.6610227227210999,0.8308415412902832,0.2,691.75634765625,0.0047559426,1180,-4.929793971776962,1951.9217012405395,0.0001,0.035919189453125,-0.002906359520056867
1966080,590,3330,322.9771451950073,120,0.6806020736694336,0.830062985420227,0.2,852.0150146484375,0.004859677,1190,-4.924076160788536,1611.337875175476,0.0001,0.0386962890625,-0.002374836163380678
1982464,589,3361,566.888632774353,121,0.6098046004772186,0.8293576836585999,0.2,1890.586181640625,0.003889782,1200,-4.920530985295772,2616.541428565979,0.0001,0.01864013671875,-0.0017771468097635078
1998848,589,3392,240.78491687774658,122,0.6404980719089508,0.8289704322814941,0.2,856.9732055664062,0.0034369337,1210,-4.918113854527474,2419.962424468994,0.0001,0.020587158203125,-0.0015344153995101805
2015232,588,3422,328.92491149902344,123,0.7254036962985992,0.8272203207015991,0.2,698.790771484375,0.004846312,1220,-4.913253098726273,1676.6098581314086,0.0001,0.037481689453125,-0.0030127789439575283
2031616,588,3452,368.68029975891113,124,0.6950243413448334,0.8256300687789917,0.2,1172.185791015625,0.005188932,1230,-4.904511642456055,1819.2247821807862,0.0001,0.0376220703125,-0.0024903047538828104
2048000,587,3484,590.0566310882568,125,0.6982865929603577,0.8260983228683472,0.2,703.7742919921875,0.0042607426,1240,-4.90178080946207,1593.9092330932617,0.0001,0.027142333984375,-0.0020170014886389254
2064384,587,3514,251.40049171447754,126,0.6650351583957672,0.8271589279174805,0.2,827.134765625,0.0046173204,1250,-4.9053119897842405,2376.553902435303,0.0001,0.033819580078125,-0.0024758525414654287
2080768,586,3545,447.7579428553581,127,0.7317539155483246,0.8265494704246521,0.2,789.6553344726562,0.0048807105,1260,-4.90629732310772,1650.078529548645,0.0001,0.03121337890625,-0.002279268967322423
