time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rew_vec_envs,train/explained_variance,train/approx_kl,train/loss,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/std,train/clip_fraction,train/value_loss,train/learning_rate
3865,474,112,1835008,0.05750585114583373,0.484035849571228,0.014239119,-0.0059016249142587185,-4.2645794179290535,1110,0.2,-0.0025008783908560873,0.7126749753952026,0.18514404296875,0.0003092509503133556,0.0001
3900,474,113,1851392,0.11322396364994347,0.4694693088531494,0.01422788,-0.014001619070768356,-4.238675516471266,1120,0.2,9.457638334424701e-05,0.7070186138153076,0.173583984375,0.00039936921809271555,0.0001
3935,474,114,1867776,0.03553497279062867,0.6426766216754913,0.014331838,0.002621686551719904,-4.220048754662275,1130,0.2,-0.0020522304283076666,0.7048271894454956,0.175213623046875,0.00029745151658460144,0.0001
3972,474,115,1884160,0.04814601852558553,0.5388728082180023,0.0136516,-0.0032663645688444376,-4.20449858866632,1140,0.2,-0.001791018754374818,0.701509952545166,0.1764892578125,0.0001973209639771767,0.0001
4008,474,116,1900544,-0.015375361312180758,0.3234850764274597,0.013588812,-0.017295898869633675,-4.190286395698786,1150,0.2,-0.0013349341294087934,0.6993493437767029,0.18731689453125,0.00038883677537597804,0.0001
4043,474,117,1916928,0.007507429691031575,0.7907945662736893,0.013223739,0.01851266250014305,-4.170256142690778,1160,0.2,-0.002452731802986818,0.6951838731765747,0.186285400390625,0.00015425800254149636,0.0001
4078,474,118,1933312,0.03759133629500866,0.535610556602478,0.015651464,0.0068609993904829025,-4.156219407171011,1170,0.2,0.000699905563305947,0.6940954923629761,0.191815185546875,0.0004480594397961113,0.0001
4114,473,119,1949696,0.009565555723384023,0.7971429377794266,0.011350296,-0.014301886782050133,-4.13092379309237,1180,0.2,-0.0015757092551211827,0.6871780157089233,0.1525146484375,6.240747444365979e-05,0.0001
4150,473,120,1966080,-0.04686388187110424,0.8270193040370941,0.011540197,0.00028142373776063323,-4.10980961471796,1190,0.2,-0.0022247496744967066,0.6855876445770264,0.14984130859375,6.0530130171798645e-05,0.0001
4185,473,121,1982464,-0.016942286863923073,0.7542742937803268,0.012211731,-0.004955173470079899,-4.085734663531184,1200,0.2,-0.002774221465733717,0.6804029941558838,0.1716552734375,0.00011570131979823372,0.0001
4221,473,122,1998848,0.0466021909378469,0.5456119775772095,0.015334088,0.012034932151436806,-4.074156417697668,1210,0.2,-0.001162657205350115,0.6803925037384033,0.180560302734375,0.0002567417368723568,0.0001
4258,473,123,2015232,0.05035450169816613,0.1559632420539856,0.013834065,-0.0018519515870139003,-4.043823616579175,1220,0.2,-0.000292093988173292,0.6715689897537231,0.185491943359375,0.00059419668210694,0.0001
