rew_vec_envs,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl,train/std
448.4015793800354,3294,795,80,2621440,-4.257308447360993,-0.00486236549768364,0.0631988525390625,0.2,0.49747055768966675,790,210.12759399414062,0.001,688.6358606338501,0.006491945,0.7019011378288269
418.5476608276367,3344,793,81,2654208,-4.224634462594986,-0.005032044650579337,0.067657470703125,0.2,0.5471039116382599,800,175.95729064941406,0.001,618.1521081924438,0.007147678,0.6950824856758118
485.64455366134644,3397,790,82,2686976,-4.190243247151375,-0.0052631688624387605,0.061590576171875,0.2,0.5258789360523224,810,171.2094268798828,0.001,627.537571144104,0.0064671207,0.6899939179420471
443.95920848846436,3449,788,83,2719744,-4.168365120887756,-0.005271080975944642,0.0592529296875,0.2,0.5338831841945648,820,138.62042236328125,0.001,676.7054933547973,0.0070089595,0.6864879131317139
400.5323438644409,3501,786,84,2752512,-4.141953009366989,-0.00542582889465848,0.0666046142578125,0.2,0.5665788650512695,830,119.9170150756836,0.001,566.6368505477906,0.007211639,0.6820579171180725
400.95284605026245,3553,783,85,2785280,-4.128762397170067,-0.005761465462273918,0.057135009765625,0.2,0.5879001617431641,840,134.4311065673828,0.001,541.5181574821472,0.006581784,0.6797436475753784
532.3257884979248,3603,782,86,2818048,-4.106551688909531,-0.005794900756154675,0.07412109375,0.2,0.5830782949924469,850,119.51141357421875,0.001,558.6910715103149,0.0070551694,0.6757368445396423
450.1463792324066,3655,779,87,2850816,-4.077859562635422,-0.005664427315059584,0.0669891357421875,0.2,0.5866842865943909,860,160.71397399902344,0.001,596.483890914917,0.007349091,0.6708654165267944
521.0542507171631,3707,777,88,2883584,-4.050340259075165,-0.005577508473652415,0.0711669921875,0.2,0.5840595364570618,870,198.178466796875,0.001,614.1201778411865,0.0066388147,0.6660480499267578
543.6890115737915,3760,775,89,2916352,-4.02173787355423,-0.005061446828040062,0.0607147216796875,0.2,0.6041366755962372,880,171.15538024902344,0.001,643.8767911911011,0.006061946,0.6614824533462524
516.6303548812866,3814,773,90,2949120,-4.002286942303181,-0.004485643990483368,0.0589385986328125,0.2,0.5426463186740875,890,211.8253631591797,0.001,628.9236036300659,0.006043981,0.6588677167892456
382.871524810791,3868,770,91,2981888,-3.9893744394183157,-0.005818427452322794,0.0669219970703125,0.2,0.5721915066242218,900,164.756103515625,0.001,544.8054775238037,0.006997199,0.6574424505233765
404.1053047180176,3921,768,92,3014656,-3.965126733481884,-0.005683651278377511,0.06668701171875,0.2,0.5439668297767639,910,193.10333251953125,0.001,586.2164605140686,0.0073266737,0.6515759825706482
497.00167512893677,3975,766,93,3047424,-3.937465451657772,-0.004984036470705178,0.0846160888671875,0.2,0.5994815528392792,920,151.55966186523438,0.001,592.0224306106568,0.008267894,0.6471186876296997
415.48768615722656,4031,764,94,3080192,-3.9102127730846403,-0.006047102159936912,0.0603546142578125,0.2,0.5755897760391235,930,163.2281494140625,0.001,559.1995126724244,0.0061145406,0.6422969102859497
437.3215923309326,4085,761,95,3112960,-3.877012725174427,-0.005349713176838122,0.0625701904296875,0.2,0.5541608333587646,940,167.98960876464844,0.001,632.4171297073365,0.006933567,0.6381098628044128
547.6803321838379,4139,759,96,3145728,-3.8534435883164404,-0.0056063075375277546,0.0641357421875,0.2,0.6267572343349457,950,128.43032836914062,0.001,560.1040760040283,0.006591433,0.6338967084884644
510.54506254196167,4195,757,97,3178496,-3.823682647943497,-0.00529657873121323,0.059088134765625,0.2,0.5549460053443909,960,181.11985778808594,0.001,717.3104694366455,0.006487027,0.629828929901123
455.62330293655396,4251,755,98,3211264,-3.7997001498937606,-0.004867385845864191,0.075311279296875,0.2,0.5316849648952484,970,164.3070068359375,0.001,666.1567538261413,0.008538254,0.6252861618995667
477.05686616897583,4307,753,99,3244032,-3.760055239498615,-0.004664953045721632,0.078363037109375,0.2,0.5589036345481873,980,127.74104309082031,0.001,544.7617473602295,0.008217193,0.6190600991249084
402.18808937072754,4362,751,100,3276800,-3.719875232875347,-0.005141042850300437,0.0693115234375,0.2,0.593301385641098,990,159.08804321289062,0.001,601.077912902832,0.008794947,0.6128394603729248
406.83910036087036,4418,749,101,3309568,-3.693393234908581,-0.004408280774805462,0.078265380859375,0.2,0.5790684819221497,1000,172.88121032714844,0.001,581.7830825805664,0.007821935,0.6100181937217712
477.7730927467346,4473,747,102,3342336,-3.6798567205667494,-0.004709618736524135,0.0761322021484375,0.2,0.5383860468864441,1010,177.58096313476562,0.001,580.524916934967,0.008192297,0.6076836585998535
525.9208211898804,4531,744,103,3375104,-3.665246020257473,-0.005371550266136183,0.07293701171875,0.2,0.5386358201503754,1020,135.74293518066406,0.001,620.1073741912842,0.006417843,0.6061090230941772
482.1923017501831,4589,742,104,3407872,-3.64567234069109,-0.0055366159678669645,0.0732513427734375,0.2,0.5442959368228912,1030,154.81854248046875,0.001,630.8517293930054,0.007673299,0.6028026342391968
411.3703656196594,4644,740,105,3440640,-3.6230206072330473,-0.005142797363805585,0.078643798828125,0.2,0.5567405223846436,1040,184.35491943359375,0.001,609.3038129806519,0.012084644,0.5996503829956055
400.88385915756226,4700,738,106,3473408,-3.605629713833332,-0.0018117628118488938,0.1291412353515625,0.2,0.6070496141910553,1050,127.72652435302734,0.001,518.2256794929505,0.013781233,0.5979728102684021
516.9513816833496,4759,736,107,3506176,-3.596047967672348,-0.004936500159965362,0.077850341796875,0.2,0.5888488292694092,1060,172.56558227539062,0.001,550.4310870170593,0.008625184,0.5963560938835144
470.2689628601074,4815,734,108,3538944,-3.5839295014739037,-0.005077836554846726,0.0813507080078125,0.2,0.5223261415958405,1070,178.447509765625,0.001,618.5528878211975,0.0076971934,0.5946508049964905
613.1291446685791,4874,732,109,3571712,-3.5794260829687117,-0.005014246988866944,0.06932373046875,0.2,0.5922815501689911,1080,138.66439819335938,0.001,538.0559741020203,0.0077775028,0.593798816204071
504.27616691589355,4932,730,110,3604480,-3.564599785208702,-0.005632663321739529,0.074542236328125,0.2,0.5185475647449493,1090,131.83389282226562,0.001,633.7007005691528,0.0063339635,0.5913642644882202
380.22443437576294,4990,728,111,3637248,-3.5449298501014708,-0.004976737072865944,0.0760528564453125,0.2,0.5224080085754395,1100,154.0979461669922,0.001,627.4429817199707,0.006118566,0.5880677700042725
611.915735244751,5048,726,112,3670016,-3.5211816862225533,-0.0060894845591974445,0.0856170654296875,0.2,0.5857142508029938,1110,133.63824462890625,0.001,546.6695673942565,0.008120546,0.5844398736953735
389.20721340179443,5105,725,113,3702784,-3.497339330613613,-0.0057853679893014485,0.07371826171875,0.2,0.5397882461547852,1120,231.79672241210938,0.001,670.5940988540649,0.0076699695,0.581050455570221
356.2827687263489,5164,723,114,3735552,-3.4725498884916304,-0.0050773967144777995,0.081085205078125,0.2,0.5914075374603271,1130,130.62060546875,0.001,550.1846633911133,0.0100654345,0.5773753523826599
549.298547744751,5224,721,115,3768320,-3.4419837012887,-0.005535917566885473,0.0750457763671875,0.2,0.5813629627227783,1140,144.64822387695312,0.001,541.2848279953002,0.0075665955,0.5723404884338379
539.8573341369629,5283,719,116,3801088,-3.4078626960515974,-0.005583558802027255,0.068597412109375,0.2,0.5914606750011444,1150,157.66905212402344,0.001,560.7639443397522,0.0071322713,0.5678154826164246
524.584041595459,5346,717,117,3833856,-3.3839964464306833,-0.0049959998585109135,0.089593505859375,0.2,0.5669389963150024,1160,143.0294189453125,0.001,561.8508769989014,0.010045231,0.5651895403862
524.7280731201172,5409,714,118,3866624,-3.3629263997077943,-0.0045202521039755085,0.0938812255859375,0.2,0.5392544567584991,1170,151.6374969482422,0.001,613.6831715583801,0.01109129,0.5621808171272278
561.304226398468,5471,712,119,3899392,-3.33569917678833,-0.00535483580752043,0.074200439453125,0.2,0.5411556959152222,1180,179.3997802734375,0.001,611.0739070892334,0.007549228,0.5579626560211182
490.6176128387451,5533,710,120,3932160,-3.3244285479187967,-0.005610042075568344,0.0930267333984375,0.2,0.5626856982707977,1190,151.07440185546875,0.001,556.2584818840027,0.008098838,0.5581144690513611
386.3318033218384,5595,708,121,3964928,-3.3051371693611147,-0.005908178861136548,0.0703460693359375,0.2,0.5593786537647247,1200,150.99436950683594,0.001,643.2345510482788,0.008105931,0.5532631278038025
468.40005588531494,5657,706,122,3997696,-3.2766848504543304,-0.005246096602058969,0.086468505859375,0.2,0.5525051951408386,1210,170.0465087890625,0.001,615.0264469146729,0.007217792,0.5504171252250671
478.82330989837646,5721,704,123,4030464,-3.2643512532114984,-0.0052150924617308195,0.0783843994140625,0.2,0.5125831663608551,1220,188.21588134765625,0.001,642.7682502746582,0.009399675,0.5484268665313721
