rew_vec_envs,time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss
2.3182418,,,,,0.0001,5.955661773681641,0.946686465293169,-0.004764722334221006,1.0094432830810547,0.0062479833,0.063525390625,3370,-5.712084364891052,0.2,12.885989999771118
0.4066805,,,,,,,,,,,,,,,
,692224,191,3612,338,,,,,,,,,,,
0.2630668,,,,,0.0001,11.424508094787598,0.9408442825078964,-0.0013299715239554644,1.0098278522491455,0.0030333076,0.011474609375,3380,-5.713945937156677,0.2,34.58621835708618
0.5030197,,,,,,,,,,,,,,,
,694272,191,3622,339,,,,,,,,,,,
0.44293076,,,,,0.0001,1.164223551750183,0.7664597034454346,-0.00785490752896294,1.009774923324585,0.008450447,0.089208984375,3390,-5.714733219146728,0.2,3.353387105464935
0.38710606,,,,,,,,,,,,,,,
,696320,191,3633,340,,,,,,,,,,,
0.6306289,,,,,0.0001,5.283195972442627,0.8072269558906555,-0.0013980791904032231,1.0097322463989258,0.005353474,0.012890625,3400,-5.714244961738586,0.2,10.592111945152283
0.24184074,,,,,,,,,,,,,,,
,698368,191,3644,341,,,,,,,,,,,
0.5695599,,,,,0.0001,1.1104767322540283,0.7895012497901917,-0.006734168878756464,1.0101243257522583,0.009780525,0.0849609375,3410,-5.714843153953552,0.2,3.5907156467437744
0.25453836,,,,,,,,,,,,,,,
,700416,191,3654,342,,,,,,,,,,,
0.35913566,,,,,0.0001,2.0064926147460938,0.9611553624272346,-0.007648011902347207,1.01027512550354,0.013440527,0.102099609375,3420,-5.716413903236389,0.2,5.698107385635376
0.22327256,,,,,,,,,,,,,,,
,702464,191,3665,343,,,,,,,,,,,
0.5677096,,,,,0.0001,65.3039779663086,-0.043301939964294434,-0.0013796630664728582,1.010189175605774,0.012176509,0.093017578125,3430,-5.716251230239868,0.2,128.01167106628418
0.83246875,,,,,,,,,,,,,,,
,704512,191,3676,344,,,,,,,,,,,
0.5781766,,,,,0.0001,1.2574012279510498,0.935986690223217,-0.007649254472926259,1.0102713108062744,0.005297425,0.081396484375,3440,-5.716183209419251,0.2,4.505019354820251
0.4571246,,,,,,,,,,,,,,,
,706560,191,3686,345,,,,,,,,,,,
0.27436236,,,,,0.0001,3.0610151290893555,0.869591623544693,-0.004444683191832155,1.0103890895843506,0.008270855,0.034423828125,3450,-5.716740894317627,0.2,8.242610907554626
0.31015882,,,,,,,,,,,,,,,
,708608,191,3697,346,,,,,,,,,,,
0.6721095,,,,,0.0001,0.9829747080802917,0.7666225284337997,-0.013116105599328876,1.0104742050170898,0.025930919,0.194580078125,3460,-5.7169982433319095,0.2,2.040489137172699
0.5174902,,,,,,,,,,,,,,,
,710656,191,3708,347,,,,,,,,,,,
0.55799013,,,,,0.0001,17.48640251159668,0.7568494826555252,0.013746367115527392,1.0105633735656738,0.05664911,0.319189453125,3470,-5.717483186721802,0.2,49.49991931915283
0.2165896,,,,,,,,,,,,,,,
,712704,191,3718,348,,,,,,,,,,,
3.1687784,,,,,0.0001,8.431045532226562,0.9193206876516342,-0.003249792300630361,1.010675072669983,0.0070980038,0.061328125,3480,-5.717745232582092,0.2,22.409384965896606
0.94391114,,,,,,,,,,,,,,,
,714752,191,3729,349,,,,,,,,,,,
0.46232888,,,,,0.0001,87.21392059326172,0.8184190988540649,0.0012165326857939362,1.010746717453003,0.00388726,0.027587890625,3490,-5.718232536315918,0.2,163.25033798217774
0.3135211,,,,,,,,,,,,,,,
,716800,191,3740,350,,,,,,,,,,,
1.0543666,,,,,0.0001,10.648331642150879,0.8953843861818314,-0.004312091786414385,1.0109127759933472,0.00489356,0.012060546875,3500,-5.718505263328552,0.2,22.205246925354004
0.42403284,,,,,,,,,,,,,,,
,718848,191,3750,351,,,,,,,,,,,
2.1328683,,,,,0.0001,4.809665679931641,0.9603490382432938,-0.004890266992151737,1.0110554695129395,0.009061845,0.052783203125,3510,-5.719389486312866,0.2,10.57583816051483
0.1435517,,,,,,,,,,,,,,,
,720896,191,3761,352,,,,,,,,,,,
0.3055532,,,,,0.0001,2727.64453125,0.2501950263977051,-0.0021290166885592045,1.011054277420044,0.0025928954,0.005419921875,3520,-5.719532251358032,0.2,4412.935607910156
0.44701847,,,,,,,,,,,,,,,
,722944,191,3771,353,,,,,,,,,,,
0.6666882,,,,,0.0001,0.707477867603302,0.9534581787884235,-0.0046070734621025625,1.011176586151123,0.007867874,0.035107421875,3530,-5.719712138175964,0.2,2.4349868655204774
0.28543034,,,,,,,,,,,,,,,
,724992,191,3782,354,,,,,,,,,,,
0.7190091,,,,,0.0001,1.652980923652649,0.911367267370224,-0.0026087329373694957,1.0110714435577393,0.0046040504,0.02578125,3540,-5.720037603378296,0.2,4.731606543064117
0.2181816,,,,,,,,,,,,,,,
,727040,191,3793,355,,,,,,,,,,,
0.5243284,,,,,0.0001,10.311659812927246,0.9234420955181122,-0.0010056016850285231,1.0109450817108154,0.0026951055,0.001611328125,3550,-5.719230604171753,0.2,27.75834937095642
0.32931665,,,,,,,,,,,,,,,
,729088,191,3803,356,,,,,,,,,,,
