time/total_timesteps,rew_vec_envs,time/fps,time/iterations,time/time_elapsed,train/clip_range,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/n_updates,train/policy_gradient_loss
1196032,3.363863945007324,413,73,2890,0.2,0.7981768846511841,-4.7450973685830835,0.0001,137.74470806643367,22.32798957824707,0.5720226466655731,0.007804945,0.12197265625,720,9.465324474149384e-05
1212416,-15.768498420715332,413,74,2930,0.2,0.7960947751998901,-4.726832545176149,0.0001,156.1060219757259,57.90000915527344,0.6750257313251495,0.0102438945,0.104791259765625,730,-0.0013961061584268463
1228800,-39.04259955883026,413,75,2971,0.2,0.7921797633171082,-4.708593662083149,0.0001,182.74783375561236,104.76980590820312,0.5461303889751434,0.010355111,0.125421142578125,740,0.0002123592304997146
1245184,9.062945365905762,413,76,3009,0.2,0.7859671115875244,-4.679568315297365,0.0001,204.76641091257335,13.28022575378418,0.4426484704017639,0.011717886,0.105572509765625,750,-1.0479919910721947e-05
1261568,24.823266744613647,414,77,3046,0.2,0.788785457611084,-4.675481352582574,0.0001,345.2383474573493,89.45657348632812,0.6506122350692749,0.006627856,0.075213623046875,760,-0.001649726046161959
1277952,31.825896620750427,414,78,3083,0.2,0.7851017713546753,-4.67233671657741,0.0001,245.8507847070694,30.2247257232666,0.7003379762172699,0.0080186855,0.081695556640625,770,-0.0013479458832080127
1294336,33.150059938430786,414,79,3119,0.2,0.7841355800628662,-4.6590294651687145,0.0001,227.95028315782548,79.660888671875,0.5176190435886383,0.010120031,0.108563232421875,780,-0.001206972505133308
1310720,42.47952127456665,415,80,3156,0.2,0.7841230630874634,-4.656130233034491,0.0001,238.60563315078616,564.8905029296875,0.6151951849460602,0.01180666,0.156280517578125,790,0.001766070560006483
1327104,47.36170721054077,415,81,3191,0.2,0.7867695093154907,-4.6637204848229885,0.0001,159.46561570316553,18.307931900024414,0.6903457641601562,0.01182289,0.11473388671875,800,-0.0009026831772644073
1343488,31.286470890045166,416,82,3227,0.2,0.7878516316413879,-4.670345356687903,0.0001,128.34562449455262,29.751951217651367,0.7653705328702927,0.007968601,0.1194091796875,810,-0.0008256133402028354
1359872,11.680801153182983,416,83,3263,0.2,0.7838377952575684,-4.6610610615462065,0.0001,128.98167047277093,86.55475616455078,0.6757772266864777,0.014464498,0.1567138671875,820,0.00027069851421401836
1376256,17.6354763507843,417,84,3297,0.2,0.7804909944534302,-4.643433802574873,0.0001,185.7183590836823,102.02720642089844,0.6739159822463989,0.008907725,0.106597900390625,830,-0.0006243683703360148
1392640,31.707704782485962,418,85,3330,0.2,0.7806881666183472,-4.6301126513630155,0.0001,169.91416959241033,21.427282333374023,0.5433444678783417,0.012835023,0.129852294921875,840,-5.6217329984065145e-05
1409024,44.26989769935608,418,86,3365,0.2,0.7783778309822083,-4.622853372246027,0.0001,116.7055531822145,137.8871612548828,0.7094570696353912,0.011065808,0.21043701171875,850,0.003385997844816302
1425408,47.40530276298523,419,87,3399,0.2,0.7779918909072876,-4.615008597820998,0.0001,360.06719730347396,24.456932067871094,0.4891306161880493,0.0055602486,0.075244140625,860,-0.001992258109385148
1441792,36.56373620033264,420,88,3431,0.2,0.7748285531997681,-4.604540577158332,0.0001,82.13479467853904,7.466863632202148,0.6364621520042419,0.014032577,0.1327392578125,870,0.0012503313744673505
1458176,-15.25489330291748,420,89,3465,0.2,0.7757525444030762,-4.601090579107404,0.0001,218.59628082513808,65.89897155761719,0.5022003054618835,0.0059991446,0.07196044921875,880,-0.0009072791843209415
1474560,13.763023614883423,421,90,3500,0.2,0.7694307565689087,-4.5854768142104145,0.0001,66.3929175324738,8.67102336883545,0.7661305367946625,0.010994078,0.144805908203125,890,-0.00014860321425658185
1490944,30.99800479412079,421,91,3533,0.2,0.7684707641601562,-4.568932689726353,0.0001,164.10534016266465,47.05180740356445,0.556786298751831,0.007827989,0.081121826171875,900,-0.0008736556465009926
1507328,-21.475717306137085,422,92,3566,0.2,0.7661210894584656,-4.5559526540338995,0.0001,75.62166512608528,10.390296936035156,0.8304159045219421,0.011363912,0.12193603515625,910,0.00014496337662421864
1523712,15.90060043334961,423,93,3600,0.2,0.7626539468765259,-4.540128067135811,0.0001,104.86364343315363,276.931396484375,0.7587317079305649,0.009413254,0.152294921875,920,0.0002699234722967958
1540096,14.80207884311676,423,94,3634,0.2,0.7590743899345398,-4.52312138080597,0.0001,108.47473821416497,51.85586166381836,0.7083117961883545,0.008759163,0.130377197265625,930,0.0001123236601415556
1556480,48.08036184310913,424,95,3667,0.2,0.7598337531089783,-4.516155439987779,0.0001,50.88187120966613,12.527212142944336,0.8394899219274521,0.013284525,0.178741455078125,940,0.0018292549157195026
1572864,38.115792989730835,425,96,3700,0.2,0.7558755874633789,-4.505367853492499,0.0001,44.69749343581498,12.7853422164917,0.894355870783329,0.010772166,0.135101318359375,950,0.000743836156470934
1589248,39.14817261695862,425,97,3735,0.2,0.7539753913879395,-4.488867693394423,0.0001,91.68617465794087,30.038986206054688,0.6354286372661591,0.011288752,0.132635498046875,960,0.00019084923715126934
1605632,44.86345314979553,425,98,3770,0.2,0.7532838582992554,-4.479765829443932,0.0001,244.20407189130782,10.860304832458496,0.6908481121063232,0.007203039,0.0781005859375,970,-0.0015134283479710576
1622016,65.27236151695251,426,99,3804,0.2,0.753748893737793,-4.483423330262303,0.0001,100.00318358913064,7.2388997077941895,0.7138303518295288,0.016318116,0.182080078125,980,0.002654497532421374
1638400,37.359246253967285,426,100,3842,0.2,0.7520672082901001,-4.475477460771799,0.0001,256.5779282256961,20.694538116455078,0.587588757276535,0.008396513,0.08172607421875,990,-0.0011639960714092013
1654784,5.195913076400757,426,101,3879,0.2,0.7496991157531738,-4.462156975641847,0.0001,65.0892117805779,87.4742202758789,0.5768734812736511,0.013936409,0.14075927734375,1000,0.0003271837224019691
1671168,39.748539447784424,426,102,3914,0.2,0.744493842124939,-4.439192521199584,0.0001,106.86353755816818,16.489225387573242,0.7066051363945007,0.013911808,0.14168701171875,1010,0.0002035120010987157
1687552,27.93053412437439,427,103,3949,0.2,0.7391905784606934,-4.415347515046596,0.0001,172.57160530239344,16.37228775024414,0.6716980040073395,0.016789528,0.136029052734375,1020,0.002794770631226129
1703936,38.7354462146759,427,104,3986,0.2,0.7354412078857422,-4.386648485437036,0.0001,51.9930531334132,7.341734409332275,0.7007389962673187,0.014422584,0.174066162109375,1030,0.001686985997730517
1720320,82.701740026474,427,105,4023,0.2,0.7311221361160278,-4.366032829880714,0.0001,84.70624957568944,20.46790885925293,0.3996562957763672,0.016379137,0.155914306640625,1040,0.0011218079880563891
1736704,59.16043710708618,427,106,4058,0.2,0.7290620803833008,-4.3511281732469795,0.0001,124.43233581110835,20.169580459594727,0.6129262447357178,0.009251265,0.08541259765625,1050,-0.0018648146602572523
1753088,39.25038194656372,428,107,4094,0.2,0.7295197248458862,-4.347416282817721,0.0001,196.4911935441196,31.7425594329834,0.5036795735359192,0.008573196,0.11173095703125,1060,-0.00012301737224333919
1769472,49.224072217941284,428,108,4131,0.2,0.7284443974494934,-4.34227072186768,0.0001,217.31469687446952,15.346356391906738,0.41107410192489624,0.009913366,0.15791015625,1070,0.0004611592939909315
1785856,41.46319556236267,428,109,4167,0.2,0.7264033555984497,-4.336424947157502,0.0001,216.87303616851568,30.945941925048828,0.5791608989238739,0.010638202,0.160443115234375,1080,7.148867480282206e-05
1802240,51.62164306640625,428,110,4204,0.2,0.7255105972290039,-4.323657687753439,0.0001,221.71912019848824,102.81182861328125,0.48849380016326904,0.008952192,0.11246337890625,1090,0.0010716595010308084
1818624,34.41336464881897,428,111,4241,0.2,0.7248739004135132,-4.322099307179451,0.0001,305.97589765191077,244.6722869873047,0.6035060286521912,0.0074670445,0.06505126953125,1100,-0.0015952170084347016
1835008,40.62294936180115,429,112,4276,0.2,0.7210060358047485,-4.307205925136804,0.0001,92.75931392014027,32.10776901245117,0.6671088337898254,0.009523607,0.11051025390625,1110,-4.741860793728847e-05
1851392,9.63359522819519,429,113,4312,0.2,0.7192351818084717,-4.295247579738498,0.0001,135.79182377010585,32.6019172668457,0.7400902211666107,0.010229651,0.11048583984375,1120,4.6010233563720246e-05
1867776,23.418439626693726,428,114,4356,0.2,0.7162201404571533,-4.2810612138360735,0.0001,75.92740005031229,11.418906211853027,0.7372891008853912,0.011369662,0.125286865234375,1130,-0.00019801012094831095
1884160,0.9424333572387695,428,115,4397,0.2,0.7118947505950928,-4.258703611791134,0.0001,110.26607114374637,71.3553466796875,0.5597428679466248,0.011767089,0.155938720703125,1140,0.0008669989112604526
1900544,72.70189785957336,428,116,4439,0.2,0.7094189524650574,-4.247227474302053,0.0001,320.95323637276886,263.9478759765625,0.264568567276001,0.012201969,0.158221435546875,1150,0.0004940792517118097
1916928,68.62935447692871,427,117,4479,0.2,0.706246018409729,-4.229634442552924,0.0001,82.09905626401306,64.0511703491211,0.5947922766208649,0.011624491,0.16634521484375,1160,0.001777428477362264
1933312,44.16770911216736,427,118,4520,0.2,0.7069985866546631,-4.2186772003769875,0.0001,106.82577319964767,66.021240234375,0.5765905976295471,0.011260149,0.154901123046875,1170,0.0012580199541844194
1949696,49.543222546577454,427,119,4560,0.2,0.7092876434326172,-4.229410418868065,0.0001,119.88986081145704,89.19283294677734,0.540412038564682,0.014136817,0.146697998046875,1180,-0.0007906861461378867
1966080,39.94278049468994,427,120,4600,0.2,0.7037791013717651,-4.217305531352759,0.0001,23.38349274881184,10.097247123718262,0.7939085960388184,0.015937189,0.20770263671875,1190,0.0030453400147962386
1982464,54.203465938568115,427,121,4641,0.2,0.7051844000816345,-4.211640629917383,0.0001,137.4717399287969,14.409184455871582,0.23795026540756226,0.013412746,0.208349609375,1200,0.0025343202254589415
1998848,14.475457668304443,426,122,4685,0.2,0.7022307515144348,-4.212552036717534,0.0001,136.88224516287445,9.169727325439453,0.26236629486083984,0.01674954,0.153729248046875,1210,0.0010849250826140632
2015232,51.30224370956421,426,123,4725,0.2,0.7034175395965576,-4.208635510504246,0.0001,219.8674168303609,14.328179359436035,0.20088350772857666,0.011334235,0.1396484375,1220,-0.00019517423970683012
