time/total_timesteps,time/fps,rew_vec_envs,time/time_elapsed,time/iterations,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/std
5029888,447,-369.3334426879883,11238,307,0.001,-3.490940608084202,0.2,0.4990929961204529,118.7729263305664,3060,-0.017478509354259587,0.50950927734375,0.13850988,358.802891433239,0.5804567337036133
5046272,447,-232.9403395652771,11282,308,0.001,-3.49625138156116,0.2,0.5629954934120178,47.636539459228516,3070,0.0292176981245575,0.57703857421875,0.9156429,351.3599281072617,0.5866330862045288
5062656,447,-192.65303897857666,11324,309,0.001,-3.505716834589839,0.2,0.5656778812408447,55.84618377685547,3080,-0.008184721571888076,0.56807861328125,0.16149567,327.521386808157,0.5814363956451416
5079040,446,-266.8509702682495,11368,310,0.001,-3.4843472357839347,0.2,0.45014888048171997,110.84768676757812,3090,-0.010761162808557856,0.5541748046875,0.18246678,355.23328524827957,0.5810235738754272
5095424,446,-246.69551181793213,11417,311,0.001,-3.4774442069232463,0.2,0.5951521396636963,60.252567291259766,3100,-0.007400510274601401,0.59404296875,0.24843287,262.4388318002224,0.5797851085662842
5111808,445,-229.09362411499023,11464,312,0.001,-3.452751314267516,0.2,0.5578239560127258,37.55757522583008,3110,-0.012304407952615292,0.466033935546875,0.17839247,486.91491732597353,0.577637791633606
5128192,445,-209.99783182144165,11510,313,0.001,-3.4521365951746703,0.2,0.5301959216594696,144.9580078125,3120,-0.011742567078908906,0.5152099609375,0.17854056,328.82099824547765,0.5779460668563843
5144576,445,-314.04475116729736,11556,314,0.001,-3.457891871780157,0.2,0.5535005927085876,83.27415466308594,3130,-0.008404810569481924,0.52972412109375,0.2077057,232.77732687592507,0.5768613219261169
5160960,444,-352.71170234680176,11603,315,0.001,-3.4727400727570057,0.2,0.6100152432918549,126.7425537109375,3140,-0.005438154152216157,0.604632568359375,0.18441498,354.220789206028,0.5765027403831482
5177344,444,-223.65365409851074,11648,316,0.001,-3.4454261869192124,0.2,0.5710850358009338,66.6393814086914,3150,-0.013429050549166276,0.51214599609375,0.15617487,385.3554185986519,0.5758363008499146
5193728,444,-110.94372606277466,11690,317,0.001,-3.4556155618280173,0.2,0.5854542553424835,34.67127990722656,3160,-0.008831640776770655,0.54656982421875,0.1615881,291.14843079447746,0.5767754912376404
5210112,444,-270.5631628036499,11733,318,0.001,-3.492189430445433,0.2,0.48438751697540283,23.254709243774414,3170,0.01982392596837599,0.644580078125,0.4413954,248.9401579916477,0.5855998396873474
5226496,442,-966.4312973022461,11820,319,0.001,-3.5896156419068577,0.2,0.5522513389587402,109.07186889648438,3180,0.1143364402843872,0.80172119140625,24.035486,189.70342475771903,0.6136632561683655
5242880,440,-958.9286460876465,11904,320,0.001,-3.7019599322229624,0.2,0.19459480047225952,192.1956787109375,3190,-0.03357488561450737,0.333856201171875,0.052496247,1069.1865584373475,0.6122440099716187
5259264,438,-976.3147506713867,11988,321,0.001,-3.6864247877150773,0.2,0.44523727893829346,258.5069885253906,3200,-0.030363351012056228,0.37537841796875,0.069111764,799.7399102926254,0.6098618507385254
5275648,436,-1030.837070465088,12079,322,0.001,-3.652323716133833,0.2,0.48817259073257446,197.31285095214844,3210,-0.02909416332549881,0.37813720703125,0.07349311,1049.9176822185516,0.6055883765220642
5292032,434,-970.3457908630371,12165,323,0.001,-3.6347899746149777,0.2,0.44538700580596924,231.31556701660156,3220,-0.02791451910525211,0.393463134765625,0.08109614,966.8549273490905,0.6032375693321228
5308416,433,-909.0518226623535,12250,324,0.001,-3.630075130611658,0.2,0.49192702770233154,220.3368682861328,3230,-0.02709897440217901,0.409698486328125,0.080987364,913.1138066768647,0.6030460000038147
5324800,431,-1081.9619941711426,12335,325,0.001,-3.6217365480959414,0.2,0.4694631099700928,141.42132568359375,3240,-0.026276757219602587,0.439044189453125,0.09760457,941.9830950498581,0.6008861064910889
