time/fps,time/total_timesteps,rew_vec_envs,time/time_elapsed,time/iterations,train/approx_kl,train/entropy_loss,train/clip_fraction,train/n_updates,train/std,train/loss,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance
552,1228800,206.7254123687744,2224,75,0.006228933,-5.227855249494314,0.06165771484375,740,0.8945972919464111,75.53488159179688,-0.002625483761948999,0.2,0.0001,322.87868856191636,0.5896874666213989
552,1245184,128.52785873413086,2254,76,0.0061529996,-5.225811260193586,0.05692138671875,750,0.8942268490791321,49.350547790527344,-0.0015356931031419662,0.2,0.0001,163.48108563423156,0.7215645909309387
552,1261568,183.1646852493286,2284,77,0.0060790204,-5.215922159701586,0.06397705078125,760,0.8903037905693054,71.92510223388672,-0.0034096855775715084,0.2,0.0001,265.175560939312,0.7008048295974731
552,1277952,93.3479413986206,2314,78,0.0056423824,-5.202494859695435,0.046478271484375,770,0.8882424235343933,61.6233024597168,-0.0022671847621040797,0.2,0.0001,284.49173669815065,0.7045551538467407
552,1294336,161.61082220077515,2343,79,0.0049426826,-5.192872288078069,0.049212646484375,780,0.8868861198425293,43.68604278564453,-0.0021004514240303253,0.2,0.0001,188.44747219085693,0.7013764679431915
552,1310720,159.694926738739,2373,80,0.008155294,-5.190859644860029,0.0748291015625,790,0.8861494660377502,38.26449966430664,-0.0021757101229013644,0.2,0.0001,204.4976073384285,0.6259636282920837
551,1327104,63.70503807067871,2404,81,0.0057970523,-5.191019724309444,0.05634765625,800,0.8879830241203308,166.49095153808594,-0.00241821496083503,0.2,0.0001,256.1308270215988,0.702411949634552
551,1343488,328.55233001708984,2434,82,0.00495507,-5.1950992368161675,0.03572998046875,810,0.8877217769622803,134.71160888671875,-0.0014440812286920846,0.2,0.0001,363.86115964651106,0.6966885030269623
551,1359872,91.2943754196167,2465,83,0.006603422,-5.188153272867202,0.063726806640625,820,0.8855762481689453,188.33493041992188,-0.0036839109810898663,0.2,0.0001,330.16673908233645,0.7292540669441223
551,1376256,61.43099594116211,2495,84,0.0063622613,-5.175781834870577,0.053533935546875,830,0.8817882537841797,125.47132873535156,-0.002351850260492938,0.2,0.0001,406.14971669912336,0.5977111458778381
551,1392640,211.13717126846313,2526,85,0.0060140695,-5.16895821839571,0.055279541015625,840,0.8825192451477051,207.9620819091797,-0.003010222646298644,0.2,0.0001,292.1403226852417,0.6845158934593201
